job_times,data_arrival_times
5.431249999999999,11.782349999999923
4.589999999999996,11.06955000000012
3.1225000000000023,4.849350000000243
5.697499999999998,3.3711500000003056
4.704999999999998,6.16460000000022
5.302499999999995,3.503749999998945
4.408749999999998,1.8937499999981355
3.8587500000000006,2.001599999997538
2.5799999999999983,3.5853999999970227
4.393750000000011,7.591249999999491
3.8950000000000102,8.377600000001706
4.506249999999994,4.183250000004193
5.211250000000007,8.842150000005802
3.4399999999999977,3.228500000008381
