time_bin_mid,avg_wait_time
16.5,0.022878413461503877
19.5,0.02024152046780398
20.5,0.06855999999941531
23.5,0.01014324561401817
24.5,0.02698501538457361
30.5,0.022701993243208207
32.5,0.02271460227285031
36.5,0.0820050000010184
39.5,0.022861142857268694
52.5,0.022771835585715258
58.5,0.09071500000373334
60.5,0.026403320158248658
61.5,0.07663088729056429
70.5,0.02267160671460689
71.5,0.022735391705046234
87.5,0.021939368131843644
90.5,0.04421993351058143
99.5,0.021779038461510008
100.5,0.01432000000065159
104.5,1.2407200000013177
108.5,0.071447665418152
116.5,0.02109242977524892
123.5,0.022828671874963197
127.5,0.02073355714282558
137.5,0.07274499999729755
139.5,1.7025349999993864
142.5,3.7913199999996436
147.5,7.343412499999715
151.5,0.3473347869970219
152.5,0.12051924332729347
153.5,0.09659813808781997
154.5,0.06226487393712599
155.5,0.009574279488721166
158.5,0.022705000000774713
162.5,0.02274165484732475
166.5,0.02162332410029108
174.5,0.08961500000407341
178.5,1.0495149999999
183.5,0.19865962184898325
184.5,0.026144875000601787
188.5,0.6235630400672125
189.5,0.07963883659682867
196.5,0.08371000004322582
198.5,0.015353641304812518
199.5,0.027714038462274552
