time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load,Queue_6_avg_load
0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,9.302521008403362
2.5,0.0,0.0,0.0,0.0,0.0,52.02077151335312
3.5,0.0,0.0,0.0,0.0,0.0,61.96655518394649
4.5,0.0,0.0,0.0,0.0,0.0,63.31438127090301
5.5,0.0,0.0,0.0,0.0,0.0,64.91304347826087
6.5,0.0,0.0,0.0,0.0,0.0,66.24666666666667
7.5,0.0,0.0,0.0,0.0,0.0,67.68561872909699
8.5,0.0,0.0,0.0,0.0,0.0,69.08361204013377
9.5,0.0,0.0,0.0,0.0,0.0,70.34563758389261
10.5,0.0,0.0,0.0,0.0,0.0,71.75747508305648
11.5,0.0,0.0,0.0,0.0,0.0,73.06040268456375
12.5,0.0,0.0,0.0,0.0,0.0,74.28428093645485
13.5,0.0,0.0,0.0,0.0,0.0,75.51170568561874
14.5,0.0,0.0,0.0,0.0,0.0,76.87666666666667
15.5,0.0,0.0,0.0,0.0,0.0,78.06040268456375
16.5,0.0,0.0,0.0,0.0,0.0,79.22408026755853
17.5,0.0,0.0,0.0,0.0,0.0,80.38590604026845
18.5,0.0,0.0,0.0,0.0,0.0,81.53820598006645
19.5,0.0,0.0,0.0,0.0,0.0,82.66666666666667
20.5,0.0,0.0,0.0,0.0,0.0,81.03191489361703
21.5,0.0,0.0,0.0,0.0,0.0,41.04761904761905
22.5,0.0,0.0,10.907284768211921,0.0,0.0,8.278688524590164
23.5,0.0,0.0,53.17846153846154,0.0,0.0,0.0
24.5,0.0,0.0,60.323232323232325,0.0,0.0,0.0
25.5,0.0,0.0,61.62837837837838,0.0,0.0,0.0
26.5,0.0,0.0,63.21,0.0,0.0,0.0
27.5,0.0,0.0,64.65771812080537,0.0,0.0,0.0
28.5,0.0,0.0,66.06397306397307,0.0,0.0,0.0
29.5,0.0,0.0,67.40939597315436,0.0,0.0,0.0
30.5,0.0,0.0,68.60942760942761,0.0,0.0,0.0
31.5,0.0,0.0,70.02341137123746,0.0,0.0,0.0
32.5,0.0,0.0,71.27702702702703,0.0,0.0,0.0
33.5,0.0,0.0,72.54849498327759,0.0,0.0,0.0
34.5,0.0,0.0,73.8013468013468,0.0,0.0,0.0
35.5,0.0,0.0,75.08389261744966,0.0,0.0,0.0
36.5,0.0,0.0,76.20538720538721,0.0,0.0,0.0
37.5,0.0,0.0,77.55555555555556,0.0,0.0,0.0
38.5,0.0,0.0,77.92808219178082,0.0,0.0,0.0
