time,Router_4_total_load,Router_5_total_load,Router_6_total_load
0.0,0.0,0.0,1.0
0.1,0.0,0.0,1.0
0.2,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.8999999999999999,0.0,0.0,0.0
0.9999999999999999,0.0,0.0,0.0
1.0999999999999999,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0
1.5000000000000002,0.0,0.0,0.0
1.6000000000000003,0.0,0.0,0.0
1.7000000000000004,0.0,0.0,0.0
1.8000000000000005,0.0,0.0,0.0
1.9000000000000006,0.0,0.0,0.0
2.0000000000000004,0.0,0.0,0.0
2.1000000000000005,0.0,0.0,0.0
2.2000000000000006,0.0,0.0,0.0
2.3000000000000007,0.0,0.0,0.0
2.400000000000001,0.0,0.0,0.0
2.500000000000001,0.0,0.0,0.0
2.600000000000001,0.0,0.0,0.0
2.700000000000001,0.0,0.0,0.0
2.800000000000001,0.0,0.0,0.0
2.9000000000000012,0.0,0.0,0.0
3.0000000000000013,0.0,0.0,0.0
3.1000000000000014,0.0,0.0,0.0
3.2000000000000015,0.0,0.0,0.0
3.3000000000000016,0.0,0.0,0.0
3.4000000000000017,0.0,0.0,0.0
3.5000000000000018,0.0,0.0,0.0
3.600000000000002,0.0,0.0,0.0
3.700000000000002,0.0,0.0,0.0
3.800000000000002,0.0,0.0,0.0
3.900000000000002,0.0,0.0,0.0
4.000000000000002,0.0,0.0,0.0
4.100000000000001,0.0,0.0,0.0
4.200000000000001,0.0,0.0,0.0
4.300000000000001,0.0,0.0,0.0
4.4,0.0,0.0,0.0
4.5,0.0,0.0,1.0
4.6,0.0,0.0,0.0
4.699999999999999,0.0,0.0,0.0
4.799999999999999,0.0,0.0,0.0
4.899999999999999,0.0,0.0,0.0
4.999999999999998,0.0,0.0,0.0
5.099999999999998,0.0,0.0,0.0
5.1999999999999975,0.0,0.0,0.0
5.299999999999997,0.0,0.0,0.0
5.399999999999997,0.0,0.0,0.0
5.4999999999999964,0.0,0.0,0.0
5.5,,,5.0
5.599999999999996,0.0,0.0,0.0
5.699999999999996,0.0,0.0,0.0
5.799999999999995,0.0,0.0,0.0
5.899999999999995,0.0,0.0,0.0
5.999999999999995,0.0,0.0,0.0
6.0,1.0,,
6.099999999999994,1.0,0.0,0.0
6.100129999999994,0.0,,
6.110279999999994,1.0,,
6.199999999999994,1.0,0.0,0.0
6.2001299999999935,0.0,,
6.203099999999994,0.0,,
6.213379999999994,1.0,,
6.213409999999993,2.0,,
6.299999999999994,0.0,0.0,0.0
6.300129999999993,0.0,,
6.3030999999999935,3.0,,
6.306199999999993,1.0,,
6.309299999999993,0.0,,
6.316479999999993,1.0,,
6.316509999999993,2.0,,
6.319579999999993,3.0,,
6.319609999999993,4.0,,
6.399999999999993,0.0,0.0,0.0
6.400129999999993,0.0,,
6.409299999999993,7.0,,
6.412399999999993,5.0,,
6.415499999999993,3.0,,
6.4185999999999925,1.0,,
6.421699999999992,0.0,,
6.422679999999993,1.0,,
6.422709999999992,2.0,,
6.4257799999999925,3.0,,
6.425809999999992,4.0,,
6.428879999999992,5.0,,
6.428909999999992,6.0,,
6.431979999999992,7.0,,
6.432009999999992,8.0,,
6.499999999999993,0.0,0.0,0.0
6.5,,,4.0
6.500129999999992,0.0,,
6.521699999999992,15.0,,
6.524799999999992,13.0,,
6.527899999999992,11.0,,
6.530999999999992,9.0,,
6.534099999999992,7.0,,
6.535079999999992,4.0,,
6.5351099999999915,5.0,,
6.5371999999999915,9.0,,
6.538179999999992,5.0,,
6.538209999999991,6.0,,
6.540299999999991,11.0,,
6.5412799999999915,6.0,,
6.541309999999991,7.0,,
6.543399999999991,13.0,,
6.544379999999991,7.0,,
6.544409999999991,8.0,,
6.546499999999991,15.0,,
6.547479999999991,8.0,,
6.547509999999991,9.0,,
6.549599999999991,17.0,,
6.550579999999991,9.0,,
6.550609999999991,10.0,,
6.552699999999991,19.0,,
6.553679999999991,10.0,,
6.553709999999991,11.0,,
6.555799999999991,21.0,,
6.556779999999991,11.0,,
6.556809999999991,12.0,,
6.558899999999991,23.0,,
6.559879999999991,12.0,,
6.559909999999991,13.0,,
6.5619999999999905,25.0,,
6.562979999999991,13.0,,
6.5630099999999905,14.0,,
6.56509999999999,27.0,,
6.566079999999991,14.0,,
6.56610999999999,15.0,,
6.56819999999999,29.0,,
6.5691799999999905,15.0,,
6.56920999999999,16.0,,
6.57129999999999,31.0,,
6.57227999999999,16.0,,
6.57230999999999,17.0,,
6.57439999999999,33.0,,
