time_bin_mid,Router_8_avg_load,Router_9_avg_load,Router_10_avg_load
154.5,44.77049180327869,0.5,13.526881720430108
155.5,11.50943396226415,,8.525925925925925
156.5,0.0,1.4,0.0
157.5,0.0,2.0,0.0
158.5,9.75072463768116,3.0,46.060267857142854
159.5,0.0,4.0,0.0
160.5,0.0,40.92942254812099,0.0
161.5,0.0,39.11238095238095,0.0
162.5,0.0,0.0,45.52566371681416
163.5,0.0,0.0,
164.5,0.0,0.0,
165.5,0.0,0.0,
166.5,17.89855072463768,0.0,43.05922865013774
167.5,25.8345498783455,0.0,0.0
168.5,0.0,0.0,0.0
169.5,0.0,0.0,0.0
170.5,0.0,33.461426491994175,0.0
171.5,18.68831168831169,0.0,0.0
172.5,0.0,0.0,0.0
173.5,0.0,0.0,0.0
174.5,0.0,37.01027397260274,0.5
175.5,0.0,0.0,
176.5,0.0,0.0,
177.5,0.0,0.0,1.0
178.5,0.0,0.0,2.4
179.5,0.0,0.0,3.0
180.5,0.2222222222222222,0.0,4.0
181.5,1.0,0.0,5.0
182.5,45.07387580299786,0.0,6.0
183.5,62.703770197486534,0.0,21.07858546168959
184.5,0.0,0.0,46.02564102564103
185.5,11.800498753117207,37.74979558462796,87.5
186.5,0.0,0.0,123.0
187.5,0.0,0.2222222222222222,168.5
188.5,0.0,,235.56215377797474
189.5,0.0,55.869017632241814,148.94122448979593
190.5,0.0,75.42339832869081,0.0
191.5,0.0,0.0,0.0
192.5,0.0,0.0,0.0
193.5,0.0,0.0,0.0
194.5,0.5,0.0,0.0
195.5,1.0,0.0,0.0
196.5,28.74915824915825,0.0,0.5
197.5,45.16149395055234,0.0,
198.5,0.0,0.0,37.571964956195245
199.5,0.0,33.857723577235774,53.03567787971458
