waiting_times,completion_times,turnaround_time,mid_points
0.12427181373474872,6.11,6.2342718137347495,1.5
0.4094941850388185,6.526666666666667,6.936160851705486,7.5
0.09569146106088411,7.936666666666667,8.032358127727552,23.5
0.47491077911937296,8.986666666666665,9.461577445786038,24.5
0.47002127198746635,7.666666666666664,8.13668793865413,26.5
0.025833617598571834,6.313333333333333,6.339166950931904,45.5
0.22016719977190746,8.156666666666666,8.376833866438574,47.5
1.4178852857169133,6.469999999999999,7.887885285716912,53.5
0.4621552176784789,4.776666666666671,5.23882188434515,58.5
0.41109141127290627,4.493333333333339,4.904424744606246,60.5
0.005343755087551472,6.683333333333337,6.688677088420889,73.5
0.46616483020447674,5.833333333333343,6.2994981635378196,78.5
0.4552053810112966,8.02333333333334,8.478538714344637,79.5
0.06842593526458529,6.796666666666667,6.865092601931252,88.5
0.23848195322054977,5.785000000000004,6.0234819532205535,92.5
0.36360647865591034,11.676666666666662,12.040273145322573,103.5
0.4073120895615432,11.566666666666677,11.97397875622822,105.5
0.4717597215485796,9.820000000000007,10.291759721548587,107.5
0.07473488853625554,4.813333333333333,4.888068221869588,127.5
0.035966222488866606,6.0166666666666515,6.052632889155518,132.5
0.4930721362910333,7.060000000000002,7.553072136291036,134.5
0.36833566959296604,8.27000000000001,8.638335669592976,145.5
0.23022088367955007,4.5166666666666515,4.746887550346202,152.5
0.21401517732840603,7.293333333333322,7.507348510661728,153.5
0.014589237037398561,4.2733333333333405,4.287922570370739,161.5
0.3879139835605372,8.799999999999983,9.18791398356052,165.5
0.19897169303783357,10.273333333333312,10.472305026371146,166.5
0.45057161045548355,10.396666666666675,10.847238277122159,185.5
0.11529150271744015,9.20666666666665,9.32195816938409,188.5
