Site,Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,0,27,25,6.517279999999999,0.23101759782693565
0,1,36,35,6.951904761904765,0.2418286615761035
0,2,44,40,10.799187499999997,0.46809070956383364
