time_bin_mid,avg_wait_time
1.5,0.037348695652174115
2.5,0.05223136490250566
3.5,0.05210282352942764
4.5,0.05020092814370654
5.5,0.056167666666661266
6.5,0.05125524331917955
7.5,0.05293131756756347
8.5,0.05488842857142981
15.5,0.041829148936180165
16.5,0.05265713896456637
17.5,0.05381136265317779
18.5,0.05105650837446149
19.5,0.41946093640645715
20.5,0.051657718676113094
21.5,0.053072869484464914
22.5,0.04854284810126803
23.5,0.04444881992896587
36.5,0.05432231428577321
37.5,0.05337594555875632
38.5,0.05408032374109396
39.5,0.052401201067643205
40.5,0.04849182464428137
41.5,0.05439234234270459
42.5,0.05238736559138876
54.5,0.038740319147497024
55.5,0.05446620218577716
56.5,0.047270750881136275
57.5,0.05769876187762367
58.5,1.2138768181818838
59.5,0.05520600890211103
60.5,0.05551148877281402
61.5,0.05374052380956327
62.5,0.05326336065576654
65.5,0.04623712765839901
66.5,0.0518048533725494
67.5,0.05017824999999583
68.5,0.04309369565126222
69.5,0.05252894812679208
70.5,0.05408373239438108
71.5,0.05702745578846806
72.5,0.08068250000010319
73.5,0.0818595483150542
74.5,0.02924499999828356
76.5,0.005065000001422959
78.5,0.10646720338982835
79.5,0.052686295843433005
80.5,0.05665198530891035
81.5,0.06184436747867408
82.5,0.05334616217537502
83.5,0.05547356953261968
84.5,0.056829285714495574
85.5,0.054233420666264465
86.5,0.05156357142854348
87.5,0.05478522950815923
88.5,0.05847912371136019
89.5,0.023684999996561373
91.5,0.044857954544967396
92.5,0.054638846153860436
93.5,0.051027499999985425
94.5,0.0535243910255873
95.5,0.017856588957410224
96.5,0.05297451152107059
97.5,0.05979833333327159
104.5,0.049411451612829546
105.5,0.05229497159087495
106.5,0.05606637931033421
111.5,0.05046048387086123
112.5,0.05423859999994814
113.5,0.05610113496931689
116.5,0.04847467741921211
117.5,0.051370706521801576
118.5,0.05465275999970629
120.5,0.05131093220332177
121.5,0.0519278080228969
122.5,0.08617500000276834
129.5,0.050857258064339814
130.5,0.05365664739913506
131.5,0.05504004201670042
132.5,0.055970310453053784
133.5,0.0659880000010844
138.5,0.03974329268254381
139.5,0.0547137352943699
140.5,0.049861197182703425
141.5,0.055039760273940655
142.5,0.0642524576292234
156.5,0.04961904255163697
157.5,0.055232269939076185
158.5,0.055926542552504
159.5,0.0536199759569385
160.5,0.05276250000057274
165.5,0.08469500001501729
167.5,0.1402991666673946
168.5,0.052081792830105555
169.5,0.054755468753736054
170.5,0.05179210197753999
171.5,0.059131851852034366
179.5,0.054364226190596894
180.5,0.05556477611958271
181.5,0.07594000000096912
182.5,0.05327938596515181
183.5,0.05484654088058781
