Site,Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,0,32,30,5.182666666666665,0.23753593379130683
0,1,37,32,6.711041666666665,0.24412170943000214
0,2,39,33,8.501174242424238,1.5859432817554324
