waiting_times,completion_times,turnaround_times
0.0,4.83,4.83
0.19311272905221877,7.445999999999998,7.639112729052217
0.3534198656778216,6.915999999999997,7.269419865677818
0.18575592127792717,3.834000000000003,4.01975592127793
0.13884181252428007,3.833999999999996,3.972841812524276
0.34147645758052647,9.0,9.341476457580526
0.10360629285145606,6.050000000000004,6.15360629285146
0.020123795889642082,4.841999999999999,4.862123795889641
0.12248127742909531,5.332000000000001,5.454481277429096
0.22965981792008705,3.8159999999999883,4.045659817920075
0.34740762916258916,3.716000000000001,4.06340762916259
0.358565055382158,5.274000000000001,5.632565055382159
0.4149779464929253,4.689999999999998,5.104977946492923
0.279458683808528,4.2819999999999965,4.5614586838085245
0.24532265251680485,3.412000000000006,3.657322652516811
0.3713611025118837,5.670000000000002,6.041361102511885
0.11751517843408976,8.342000000000013,8.459515178434103
0.17578407176949895,5.098000000000013,5.273784071769512
0.3218086477948532,3.587999999999994,3.909808647794847
0.10543515010357396,4.096000000000004,4.201435150103578
0.3915860510263087,7.761999999999972,8.15358605102628
0.2950135555580573,7.3840000000000146,7.679013555558072
0.050458802336123654,4.46999999999997,4.520458802336094
0.2658776254946247,4.039999999999992,4.305877625494617
0.4795642721822446,4.654000000000025,5.133564272182269
0.04771839999762051,4.283999999999992,4.331718399997612
0.42221606424118363,5.1980000000000075,5.620216064241191
0.20836089388967594,4.465999999999951,4.674360893889627
0.09886149523686072,6.081999999999994,6.180861495236854
0.32219075154176835,3.072000000000031,3.3941907515417995
0.3593280411730859,,
0.23385984046430508,,
