waiting_times,completion_times,turnaround_time,mid_points
0.5,4.83,5.33,0.5
0.2937367805425959,3.9139999999999997,4.207736780542596,3.5
0.22204427061836718,6.001999999999999,6.224044270618366,6.5
0.11703435382354144,3.834000000000003,3.9510343538235446,18.5
0.18575592127792717,6.27,6.455755921277927,19.5
0.12029509051876275,5.518000000000001,5.638295090518763,20.5
0.26685895515091573,4.709000000000003,4.975858955150919,26.5
0.0352052562500198,6.159999999999997,6.195205256250016,27.5
0.1602666174757914,3.753999999999998,3.914266617475789,45.5
0.34740762916258916,3.716000000000001,4.06340762916259,49.5
0.055759339358978366,2.6739999999999995,2.729759339358978,51.5
0.2218516912184043,11.414000000000001,11.635851691218406,69.5
0.41285209521569755,16.986000000000004,17.3988520952157,70.5
0.4581128524524871,19.841999999999985,20.30011285245247,74.5
0.04385755962837834,9.472000000000008,9.515857559628387,85.5
0.16502103648559796,3.025999999999982,3.19102103648558,94.5
0.24532265251680485,3.412000000000006,3.657322652516811,100.5
0.17578407176949895,3.587999999999994,3.763784071769493,123.5
0.3218086477948532,5.098000000000013,5.419808647794866,124.5
0.11946226888504441,9.906000000000006,10.02546226888505,125.5
0.1598426657367611,4.039999999999992,4.199842665736753,144.5
0.2658776254946247,6.754000000000019,7.019877625494644,146.5
0.06945551777681658,5.538000000000011,5.6074555177768275,148.5
0.15199863629484867,2.7420000000000186,2.8939986362948673,164.5
0.04771839999762051,4.283999999999992,4.331718399997612,166.5
0.42221606424118363,5.1980000000000075,5.620216064241191,171.5
0.3676066150792394,3.862000000000023,4.229606615079263,182.5
0.32219075154176835,3.8540000000000134,4.176190751541782,185.5
0.25732317219208767,6.081999999999994,6.339323172192081,186.5
0.3593280411730859,3.072000000000031,3.431328041173117,194.5
