waiting_times,completion_times,turnaround_time,mid_points
0.0,6.83,6.83,0.5
0.23017521433257926,5.07,5.3001752143325795,9.5
0.4142263039863501,6.602,7.01622630398635,11.5
0.14370953339199488,7.018000000000001,7.161709533391996,13.5
0.284963781328333,3.6439999999999984,3.9289637813283314,27.5
0.3803169298700553,5.852000000000004,6.232316929870059,28.5
0.4527074419017083,4.7520000000000024,5.204707441901711,33.5
0.12755765071166536,5.516000000000005,5.643557650711671,38.5
0.09169718408139715,4.7379999999999995,4.829697184081397,43.5
0.1118996266671104,5.222000000000001,5.333899626667112,55.5
0.36769773549853824,7.192000000000007,7.5596977354985455,65.5
0.09023670821315477,9.328000000000003,9.418236708213158,69.5
0.42225383586601595,4.981999999999999,5.404253835866015,75.5
0.3418022403755856,6.481999999999999,6.823802240375585,76.5
0.10867893744735113,6.840000000000003,6.9486789374473545,79.5
0.12034557488010478,5.091999999999999,5.2123455748801035,96.5
0.3968462651148883,6.061999999999998,6.458846265114886,99.5
0.06636710621492625,7.200000000000003,7.266367106214929,102.5
0.01569884693483914,8.617999999999995,8.633698846934834,117.5
0.21777650353499212,8.555999999999997,8.77377650353499,119.5
0.2508449543557987,6.873999999999995,7.124844954355794,123.5
0.47896212260428683,3.740000000000009,4.218962122604296,131.5
0.27535551817732085,4.015999999999991,4.291355518177312,135.5
0.1291561089835227,5.873999999999995,6.003156108983518,137.5
0.29009574923236414,4.756,5.046095749232364,147.5
0.3290934584516947,3.9099999999999966,4.239093458451691,149.5
0.13034179515565825,7.147999999999996,7.278341795155654,152.5
0.2183358186629789,6.834000000000003,7.052335818662982,162.5
0.22533824684774117,5.912000000000006,6.137338246847747,163.5
0.02119840892174807,8.382000000000005,8.403198408921753,168.5
0.12230629439372365,4.6299999999999955,4.752306294393719,174.5
0.26653516532260824,4.427999999999997,4.6945351653226055,176.5
0.214476072100382,6.294000000000011,6.508476072100393,181.5
