waiting_times,completion_times,total_completion_times
0.4363992129664638,4.090000000000003,4.526399212966467
0.22945913740500856,7.5333333333333385,7.762792470738347
0.40010752542137595,5.986666666666665,6.3867741920880405
0.14422453545423863,5.966666666666669,6.110891202120907
0.20844708752953522,4.263333333333335,4.471780420862871
0.042944326063405924,7.193333333333328,7.236277659396734
0.07500378986313905,4.390000000000001,4.46500378986314
0.4216415277654306,4.280000000000001,4.701641527765432
0.004458508377098269,7.239999999999995,7.244458508377093
0.1372369143720249,4.74666666666667,4.883903581038695
5.116585949106522,5.666666666666686,10.783252615773208
0.17388416409146146,3.863333333333344,4.037217497424805
0.344512100782552,3.8566666666666833,4.201178767449235
0.2833239826365599,6.366666666666674,6.649990649303234
0.17279217707358896,3.880000000000024,4.052792177073613
0.20313082124137338,7.073333333333352,7.276464154574725
0.31171938533232435,,
0.17212619768542936,,
0.26610808334947933,,
0.4922750113275356,,
0.28955114174303276,,
0.2973546210816096,,
0.031223356358395904,,
0.29890468983364826,,
0.41755410379985847,,
0.02785440192741362,,
0.44265734817389557,,
