Site,Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
2,0,13,3,5.8572666666666295,11.010575039893865
2,1,17,3,3.934566666666658,0.2418011906348223
2,2,23,2,4.410074999999974,0.23908600405383296
