time,throughput,connection_id,src,dst
1.5,0.0,13302,<entities.processor.Processor object at 0x000002157E24B610>,<entities.dtn.DTN object at 0x000002157C490100>
1.6000999999999999,147.0,52093,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24B610>
2.5,0.0,71964,<entities.processor.Processor object at 0x000002157E24BCA0>,<entities.dtn.DTN object at 0x000002157C490100>
2.5,0.0,2206,<entities.processor.Processor object at 0x000002157E24BE50>,<entities.dtn.DTN object at 0x000002157C490100>
2.5,0.0,50965,<entities.processor.Processor object at 0x000002157E25E1F0>,<entities.dtn.DTN object at 0x000002157C490100>
2.5001,0.0,56327,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24BCA0>
3.5001,235.5,56327,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24BCA0>
4.5001,3.5,56327,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24BCA0>
2.5001,325.0,70157,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E25E1F0>
4.0,0.0,61241,<entities.processor.Processor object at 0x000002157E24B400>,<entities.dtn.DTN object at 0x000002157C490100>
4.017039999999998,79.0,3816,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24B400>
4.047625000000006,152.0,55549,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E24BE50>
4.5,0.0,95848,<entities.processor.Processor object at 0x000002157E25E3A0>,<entities.dtn.DTN object at 0x000002157C490100>
4.513419999999997,262.0,16845,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E25E3A0>
5.0,0.0,66640,<entities.processor.Processor object at 0x000002157E25E550>,<entities.dtn.DTN object at 0x000002157C490100>
5.085580000000033,342.0,56326,<entities.dtn.DTN object at 0x000002157C490100>,<entities.processor.Processor object at 0x000002157E25E550>
7.5,0.0,88000,<entities.processor.Processor object at 0x000002157E24B1C0>,<entities.dtn.DTN object at 0x000002157C490100>
8.0,0.0,6699,<entities.processor.Processor object at 0x000002157E25E040>,<entities.dtn.DTN object at 0x000002157C490100>
