time_bin,goodput,time_bin_mid
"[2, 3)",0.0,2.5
"[7, 8)",0.0,7.5
"[13, 14)",88.5,13.5
"[14, 15)",47.5,14.5
"[19, 20)",56.0,19.5
"[21, 22)",0.0,21.5
"[23, 24)",66.0,23.5
"[24, 25)",87.0,24.5
"[25, 26)",50.5,25.5
"[26, 27)",24.0,26.5
"[32, 33)",88.5,32.5
"[33, 34)",35.5,33.5
"[35, 36)",43.5,35.5
"[36, 37)",71.5,36.5
"[44, 45)",0.0,44.5
"[46, 47)",0.0,46.5
"[49, 50)",0.0,49.5
"[57, 58)",0.0,57.5
"[59, 60)",0.0,59.5
"[62, 63)",0.0,62.5
"[63, 64)",39.0,63.5
"[64, 65)",103.5,64.5
"[65, 66)",79.5,65.5
"[66, 67)",74.0,66.5
"[68, 69)",88.5,68.5
"[69, 70)",112.5,69.5
"[71, 72)",0.0,71.5
"[73, 74)",0.0,73.5
"[84, 85)",11.25,84.5
"[85, 86)",150.0,85.5
"[86, 87)",28.5,86.5
"[88, 89)",0.0,88.5
"[90, 91)",0.0,90.5
"[92, 93)",0.0,92.5
"[100, 101)",0.0,100.5
"[101, 102)",0.0,101.5
"[108, 109)",0.0,108.5
"[112, 113)",78.0,112.5
"[113, 114)",89.0,113.5
"[114, 115)",22.5,114.5
"[115, 116)",129.5,115.5
"[116, 117)",42.0,116.5
"[117, 118)",99.0,117.5
"[118, 119)",24.0,118.5
"[119, 120)",0.0,119.5
"[124, 125)",0.0,124.5
"[126, 127)",0.0,126.5
"[128, 129)",62.0,128.5
"[133, 134)",67.0,133.5
"[134, 135)",66.0,134.5
"[135, 136)",37.5,135.5
"[136, 137)",63.75,136.5
"[137, 138)",150.0,137.5
"[138, 139)",5.5,138.5
"[141, 142)",0.0,141.5
"[142, 143)",0.0,142.5
"[143, 144)",1.5,143.5
"[144, 145)",21.0,144.5
"[145, 146)",24.0,145.5
"[146, 147)",9.5,146.5
"[147, 148)",72.0,147.5
"[148, 149)",74.25,148.5
"[149, 150)",40.5,149.5
"[150, 151)",61.0,150.5
"[151, 152)",57.0,151.5
"[152, 153)",1.5,152.5
"[153, 154)",0.0,153.5
"[158, 159)",0.0,158.5
"[159, 160)",0.0,159.5
"[160, 161)",0.0,160.5
"[161, 162)",0.0,161.5
"[168, 169)",88.5,168.5
"[169, 170)",74.25,169.5
"[170, 171)",63.0,170.5
"[171, 172)",40.0,171.5
"[174, 175)",61.0,174.5
"[176, 177)",0.0,176.5
"[179, 180)",73.5,179.5
"[180, 181)",97.5,180.5
"[183, 184)",87.0,183.5
"[185, 186)",54.0,185.5
"[186, 187)",75.0,186.5
"[187, 188)",37.5,187.5
"[188, 189)",68.25,188.5
"[189, 190)",29.25,189.5
"[190, 191)",127.5,190.5
"[191, 192)",136.5,191.5
"[192, 193)",17.0,192.5
"[193, 194)",33.0,193.5
"[194, 195)",112.5,194.5
"[195, 196)",109.5,195.5
"[196, 197)",81.0,196.5
"[197, 198)",43.5,197.5
"[198, 199)",106.5,198.5
"[199, 200)",148.5,199.5
