time_bin,retransmissions,time_bin_mid
"[86, 87)",4.9411764705882355,86.5
"[163, 164)",15.264705882352942,163.5
"[164, 165)",10.488888888888889,164.5
"[170, 171)",29.762886597938145,170.5
