time_bin,throughput,time_bin_mid
"[3, 4)",44.25,3.5
"[4, 5)",73.5,4.5
"[5, 6)",33.75,5.5
"[6, 7)",88.5,6.5
"[7, 8)",98.5,7.5
"[9, 10)",0.0,9.5
"[10, 11)",0.0,10.5
"[12, 13)",0.0,12.5
"[13, 14)",49.5,13.5
"[14, 15)",39.0,14.5
"[15, 16)",60.0,15.5
"[16, 17)",23.5,16.5
"[21, 22)",24.0,21.5
"[22, 23)",12.0,22.5
"[27, 28)",29.25,27.5
"[28, 29)",73.5,28.5
"[29, 30)",37.5,29.5
"[30, 31)",25.333333333333332,30.5
"[31, 32)",53.0,31.5
"[33, 34)",0.0,33.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[37, 38)",0.0,37.5
"[41, 42)",85.5,41.5
"[42, 43)",39.75,42.5
"[43, 44)",150.0,43.5
"[44, 45)",80.0,44.5
"[48, 49)",0.0,48.5
"[50, 51)",0.0,50.5
"[51, 52)",0.0,51.5
"[52, 53)",0.0,52.5
"[53, 54)",0.0,53.5
"[57, 58)",46.5,57.5
"[58, 59)",89.0,58.5
"[59, 60)",0.0,59.5
"[65, 66)",0.0,65.5
"[67, 68)",0.0,67.5
"[76, 77)",88.5,76.5
"[77, 78)",91.5,77.5
"[78, 79)",75.0,78.5
"[79, 80)",62.0,79.5
"[80, 81)",5.25,80.5
"[81, 82)",57.0,81.5
"[82, 83)",46.5,82.5
"[83, 84)",37.25,83.5
"[84, 85)",38.0,84.5
"[85, 86)",48.0,85.5
"[86, 87)",75.0,86.5
"[87, 88)",41.333333333333336,87.5
"[88, 89)",141.0,88.5
"[89, 90)",47.5,89.5
"[92, 93)",45.0,92.5
"[93, 94)",49.5,93.5
"[94, 95)",60.0,94.5
"[95, 96)",71.25,95.5
"[96, 97)",16.0,96.5
"[101, 102)",0.0,101.5
"[104, 105)",19.5,104.5
"[105, 106)",25.0,105.5
"[106, 107)",58.5,106.5
"[111, 112)",0.0,111.5
"[119, 120)",0.0,119.5
"[121, 122)",0.0,121.5
"[122, 123)",67.0,122.5
"[123, 124)",73.5,123.5
"[124, 125)",19.5,124.5
"[126, 127)",0.0,126.5
"[127, 128)",54.0,127.5
"[128, 129)",79.5,128.5
"[129, 130)",43.5,129.5
"[130, 131)",84.0,130.5
"[131, 132)",0.0,131.5
"[137, 138)",65.0,137.5
"[138, 139)",0.0,138.5
"[140, 141)",0.0,140.5
"[142, 143)",0.75,142.5
"[143, 144)",26.25,143.5
"[144, 145)",79.5,144.5
"[145, 146)",76.5,145.5
"[146, 147)",68.0,146.5
"[148, 149)",18.75,148.5
"[149, 150)",93.0,149.5
"[150, 151)",60.5,150.5
"[152, 153)",0.0,152.5
"[153, 154)",0.0,153.5
"[155, 156)",0.0,155.5
"[157, 158)",0.0,157.5
"[163, 164)",0.0,163.5
"[174, 175)",73.5,174.5
"[175, 176)",74.25,175.5
"[176, 177)",122.0,176.5
"[179, 180)",0.0,179.5
"[181, 182)",0.0,181.5
"[184, 185)",34.5,184.5
"[185, 186)",29.75,185.5
"[186, 187)",0.0,186.5
"[188, 189)",0.0,188.5
"[195, 196)",0.0,195.5
"[197, 198)",0.0,197.5
"[199, 200)",46.5,199.5
