time_bin,throughput,time_bin_mid
"[1, 2)",48.0,1.5
"[2, 3)",29.5,2.5
"[3, 4)",84.16666666666667,3.5
"[4, 5)",79.08333333333333,4.5
"[5, 6)",49.1,5.5
"[6, 7)",2.6666666666666665,6.5
"[7, 8)",11.333333333333334,7.5
"[8, 9)",102.375,8.5
"[9, 10)",80.33333333333333,9.5
"[16, 17)",76.5,16.5
"[17, 18)",85.5,17.5
"[18, 19)",14.75,18.5
"[19, 20)",56.0,19.5
"[20, 21)",15.625,20.5
"[21, 22)",118.375,21.5
"[22, 23)",71.33333333333333,22.5
"[23, 24)",53.0,23.5
"[24, 25)",50.9,24.5
"[25, 26)",46.875,25.5
"[26, 27)",15.0,26.5
"[27, 28)",2.5,27.5
"[28, 29)",113.375,28.5
"[29, 30)",81.0,29.5
"[30, 31)",20.25,30.5
"[31, 32)",16.5,31.5
"[33, 34)",75.75,33.5
"[34, 35)",99.0,34.5
"[35, 36)",25.5,35.5
"[36, 37)",0.0,36.5
"[37, 38)",320.0,37.5
"[38, 39)",64.0,38.5
"[39, 40)",34.1875,39.5
"[40, 41)",13.9,40.5
"[41, 42)",0.75,41.5
"[42, 43)",0.0,42.5
"[43, 44)",19.5,43.5
"[44, 45)",26.5,44.5
"[45, 46)",48.6,45.5
"[46, 47)",0.0,46.5
"[47, 48)",28.333333333333332,47.5
"[48, 49)",32.94444444444444,48.5
"[49, 50)",31.916666666666668,49.5
"[50, 51)",90.75,50.5
"[51, 52)",48.666666666666664,51.5
"[52, 53)",86.5,52.5
"[53, 54)",0.0,53.5
"[54, 55)",31.5,54.5
"[55, 56)",72.5,55.5
"[56, 57)",121.4,56.5
"[57, 58)",58.75,57.5
"[58, 59)",41.833333333333336,58.5
"[59, 60)",59.875,59.5
"[60, 61)",82.5,60.5
"[61, 62)",29.1,61.5
"[62, 63)",48.75,62.5
"[63, 64)",33.333333333333336,63.5
"[64, 65)",0.0,64.5
"[66, 67)",147.0,66.5
"[67, 68)",80.5,67.5
"[68, 69)",0.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",29.25,70.5
"[71, 72)",123.5,71.5
"[72, 73)",69.0,72.5
"[73, 74)",45.0,73.5
"[74, 75)",44.4375,74.5
"[75, 76)",40.8125,75.5
"[76, 77)",86.4,76.5
"[77, 78)",59.333333333333336,77.5
"[79, 80)",74.25,79.5
"[80, 81)",0.0,80.5
"[81, 82)",84.75,81.5
"[82, 83)",43.5,82.5
"[83, 84)",51.0,83.5
"[84, 85)",19.5,84.5
"[88, 89)",66.0,88.5
"[89, 90)",96.0,89.5
"[90, 91)",35.5,90.5
"[91, 92)",0.0,91.5
"[92, 93)",26.5,92.5
"[93, 94)",48.857142857142854,93.5
"[94, 95)",85.375,94.5
"[95, 96)",86.83333333333333,95.5
"[96, 97)",3.5,96.5
"[104, 105)",39.5,104.5
"[105, 106)",44.0,105.5
"[106, 107)",0.0,106.5
"[107, 108)",0.0,107.5
"[108, 109)",81.75,108.5
"[109, 110)",140.75,109.5
"[110, 111)",144.4,110.5
"[111, 112)",141.125,111.5
"[112, 113)",0.0,112.5
"[113, 114)",31.625,113.5
"[114, 115)",31.4,114.5
"[115, 116)",34.5,115.5
"[116, 117)",30.11111111111111,116.5
"[117, 118)",37.5,117.5
"[118, 119)",11.357142857142858,118.5
"[119, 120)",22.8,119.5
"[120, 121)",28.8,120.5
"[121, 122)",0.0,121.5
"[122, 123)",6.0,122.5
"[123, 124)",23.5,123.5
"[124, 125)",25.5,124.5
"[125, 126)",2.9,125.5
"[126, 127)",0.0,126.5
"[127, 128)",33.083333333333336,127.5
"[128, 129)",49.714285714285715,128.5
"[129, 130)",58.583333333333336,129.5
"[130, 131)",92.75,130.5
"[131, 132)",61.0,131.5
"[132, 133)",56.666666666666664,132.5
"[133, 134)",41.0,133.5
"[134, 135)",132.5,134.5
"[135, 136)",49.0,135.5
"[136, 137)",43.5,136.5
"[137, 138)",156.0,137.5
"[138, 139)",18.5,138.5
"[140, 141)",50.7,140.5
"[141, 142)",59.5,141.5
"[142, 143)",108.5,142.5
"[144, 145)",0.0,144.5
"[145, 146)",76.5,145.5
"[146, 147)",24.25,146.5
"[148, 149)",127.5,148.5
"[149, 150)",50.75,149.5
"[151, 152)",135.0,151.5
"[152, 153)",127.0,152.5
"[153, 154)",60.75,153.5
"[154, 155)",72.5,154.5
"[155, 156)",62.5,155.5
"[156, 157)",61.5,156.5
"[157, 158)",213.0,157.5
"[158, 159)",3.5,158.5
"[159, 160)",54.75,159.5
"[160, 161)",126.0,160.5
"[161, 162)",26.083333333333332,161.5
"[162, 163)",31.6,162.5
"[163, 164)",52.0,163.5
"[166, 167)",68.25,166.5
"[167, 168)",0.0,167.5
"[168, 169)",26.25,168.5
"[169, 170)",22.833333333333332,169.5
"[170, 171)",79.0,170.5
"[171, 172)",4.25,171.5
"[172, 173)",75.75,172.5
"[173, 174)",70.2,173.5
"[174, 175)",37.7,174.5
"[175, 176)",87.75,175.5
"[176, 177)",28.5,176.5
"[177, 178)",23.25,177.5
"[178, 179)",44.5,178.5
"[179, 180)",68.5,179.5
"[180, 181)",6.25,180.5
"[181, 182)",0.0,181.5
"[182, 183)",2.5,182.5
"[185, 186)",0.0,185.5
"[186, 187)",70.5,186.5
"[187, 188)",58.25,187.5
"[188, 189)",69.25,188.5
"[189, 190)",72.25,189.5
"[190, 191)",74.5,190.5
"[191, 192)",69.0,191.5
"[192, 193)",53.42307692307692,192.5
"[193, 194)",40.291666666666664,193.5
"[194, 195)",38.25,194.5
