job_times,data_arrival_times
5.778749999999999,8.704549999999818
4.590000000000003,11.127649999999917
2.020000000000003,9.936450000000228
4.265000000000001,2.6220500000002573
5.573750000000004,5.664599999999453
2.887500000000003,1.772199999998847
2.717500000000001,6.373949999998175
4.015000000000001,4.770499999997156
2.6212500000000034,4.690849999996544
3.844999999999999,6.397349999999278
2.8712500000000034,3.2792000000012536
5.381249999999994,3.7214000000047065
5.277500000000003,2.7104000000070982
2.4575000000000102,2.0162500000095065
