failure_times,job_ids,processor_ids,completion_times,categories,failure_counts
21,6,2,,0,1
26,4,1,,0,1
26,36,1,,0,1
33,6,2,,0,2
33,36,2,,0,2
45,9,17,,2,1
62,28,0,,0,1
62,43,0,,0,1
62,46,0,,0,1
62,61,0,,0,1
62,67,0,,0,1
62,72,0,,0,1
62,82,0,,0,1
62,90,0,,0,1
