time_bin_mid,Router_7_avg_load
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,4.1171875
6.5,7.592137592137592
7.5,28.576642335766422
8.5,12.782805429864254
9.5,9.3989898989899
10.5,8.167582417582418
11.5,0.0
12.5,1.2826086956521738
13.5,5.326409495548962
14.5,0.0
15.5,0.0
16.5,0.0
17.5,0.0
18.5,4.144578313253012
19.5,0.0
20.5,0.0
21.5,0.0
22.5,6.678947368421053
23.5,52.303534303534306
24.5,72.77160493827161
25.5,8.68
26.5,11.313432835820896
27.5,0.0
28.5,0.0
29.5,1.1363636363636365
30.5,6.377682403433476
31.5,4.63819095477387
32.5,4.934640522875817
33.5,5.465753424657534
34.5,0.14285714285714285
35.5,0.0
36.5,0.0
37.5,3.016216216216216
38.5,2.817042606516291
39.5,2.4953846153846153
40.5,31.85820895522388
41.5,23.938271604938272
42.5,0.0
43.5,0.0
44.5,0.0
45.5,0.0
46.5,1.5
47.5,7.0
48.5,3.1769230769230767
49.5,1.8888888888888888
50.5,1.454780361757106
51.5,2.3636363636363638
52.5,2.9826589595375723
53.5,3.925
54.5,5.0
55.5,0.0
56.5,0.0
57.5,0.0
58.5,5.728476821192053
59.5,10.2367758186398
60.5,46.26164079822616
61.5,38.51127819548872
62.5,27.294294294294293
63.5,58.24863387978142
64.5,10.315175097276265
65.5,13.418491484184916
66.5,22.748148148148147
67.5,14.093655589123868
68.5,6.392086330935252
69.5,1.5345911949685536
70.5,4.535433070866142
71.5,5.007142857142857
72.5,5.744318181818182
73.5,0.4444444444444444
74.5,1.4375
75.5,7.469512195121951
76.5,4.782258064516129
77.5,2.6234177215189876
78.5,5.551246537396122
79.5,1.3434343434343434
80.5,0.0
81.5,0.0
82.5,0.0
83.5,0.0
84.5,0.0
85.5,0.0
86.5,0.0
87.5,0.46153846153846156
88.5,0.8571428571428571
89.5,15.593059936908517
90.5,87.49894291754757
91.5,88.43939393939394
92.5,16.577114427860696
93.5,5.498746867167919
94.5,1.374468085106383
95.5,6.209580838323354
96.5,0.49122807017543857
97.5,4.056537102473499
98.5,0.4963768115942029
99.5,1.213991769547325
100.5,0.7229219143576826
101.5,0.9228486646884273
102.5,0.0
103.5,2.523076923076923
104.5,4.875
105.5,45.32905982905983
106.5,52.854838709677416
107.5,23.783098591549297
108.5,12.921319796954315
109.5,9.664359861591695
110.5,4.127450980392157
111.5,2.626865671641791
112.5,18.085365853658537
113.5,59.77804878048781
114.5,38.144366197183096
115.5,0.07692307692307693
116.5,0.0
117.5,0.0
118.5,0.0
119.5,0.0
120.5,0.0
121.5,0.0
122.5,0.0
123.5,0.0
124.5,0.0
125.5,0.2222222222222222
126.5,5.951871657754011
127.5,37.52643678160919
128.5,62.556603773584904
129.5,63.29498525073746
130.5,7.164383561643835
131.5,3.378787878787879
132.5,5.730407523510972
133.5,3.5315315315315314
134.5,11.3475935828877
135.5,1.2608695652173914
136.5,0.14285714285714285
137.5,1.6721311475409837
138.5,18.020408163265305
139.5,2.8347826086956522
140.5,2.0408163265306123
141.5,5.682008368200837
142.5,52.52439024390244
143.5,103.69791666666667
144.5,42.92605633802817
145.5,10.275316455696203
146.5,4.083916083916084
147.5,0.8979591836734694
148.5,7.540441176470588
149.5,34.15144766146993
150.5,70.57142857142857
151.5,30.434108527131784
152.5,8.969187675070028
153.5,8.091836734693878
154.5,3.748110831234257
155.5,1.86875
156.5,2.1686746987951806
157.5,1.2572614107883817
158.5,5.673076923076923
159.5,14.812339331619537
160.5,37.57253886010363
161.5,12.517751479289942
162.5,10.690140845070422
163.5,20.348993288590606
164.5,91.99328859060402
165.5,68.99392097264437
166.5,33.42391304347826
167.5,2.259259259259259
168.5,2.3698630136986303
169.5,7.1453900709219855
170.5,6.685483870967742
171.5,2.809734513274336
172.5,3.0344827586206895
173.5,22.454756380510442
174.5,97.77398720682302
175.5,135.22
176.5,128.29526462395543
177.5,66.17868338557994
178.5,5.528052805280528
179.5,9.759615384615385
180.5,33.21749408983452
181.5,15.343173431734318
182.5,3.709090909090909
183.5,6.0
184.5,7.7272727272727275
185.5,57.55773420479303
186.5,90.65617433414043
187.5,82.05962059620596
188.5,48.556786703601105
189.5,14.866666666666667
190.5,19.258227848101267
191.5,83.16222222222223
192.5,86.88947368421053
193.5,61.80672268907563
194.5,14.991869918699187
195.5,16.292161520190025
196.5,49.75471698113208
197.5,74.97115384615384
198.5,54.355555555555554
199.5,31.3994708994709
