time,retransmissions,connection_id,src,dst
6.0,0,63944,<entities.processor.Processor object at 0x000002157E265F10>,<entities.dtn.DTN object at 0x000002157E2651F0>
7.0,0,63944,<entities.processor.Processor object at 0x000002157E265F10>,<entities.dtn.DTN object at 0x000002157E2651F0>
7.5,0,67640,<entities.processor.Processor object at 0x000002157E26F100>,<entities.dtn.DTN object at 0x000002157E2651F0>
8.911434999999928,0,23097,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
9.911464999999929,0,23097,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
10.91149499999993,0,23097,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
8.911564999999928,0,2612,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
9.911594999999929,0,2612,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
10.91162499999993,0,2612,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
8.911694999999929,0,71728,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
9.91172499999993,0,71728,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
10.91175499999993,0,71728,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
8.911824999999927,0,72871,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E26F100>
9.911854999999928,0,72871,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E26F100>
10.911884999999929,0,72871,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E26F100>
13.5,0,33710,<entities.processor.Processor object at 0x000002157E2656A0>,<entities.dtn.DTN object at 0x000002157E2651F0>
63.0,0,61213,<entities.processor.Processor object at 0x000002157E265D60>,<entities.dtn.DTN object at 0x000002157E2651F0>
64.0,0,61213,<entities.processor.Processor object at 0x000002157E265D60>,<entities.dtn.DTN object at 0x000002157E2651F0>
63.5,0,53527,<entities.processor.Processor object at 0x000002157E26F100>,<entities.dtn.DTN object at 0x000002157E2651F0>
65.28532499999834,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28565499999834,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28598499999835,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28631499999835,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28664499999836,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28697499999836,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28730499999837,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28743499999837,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28776499999837,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28789499999837,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28822499999838,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28835499999838,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28868499999838,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28881499999838,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28914499999838,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28927499999838,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28960499999839,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28973499999839,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.28986499999839,41,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.29019499999839,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.29032499999839,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.29045499999839,41,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.52547499999781,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.52560499999781,20,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.52623499999783,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.52656499999783,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.52689499999784,-1,5549,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265F10>
65.08407499999845,-1,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.08420499999845,1,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29068499999839,3,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29081499999839,5,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.2911449999984,-1,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.2912749999984,1,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29140499999839,3,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29153499999839,5,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29166499999839,7,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
65.29179499999839,9,70276,<entities.dtn.DTN object at 0x000002157E2651F0>,<entities.processor.Processor object at 0x000002157E265D60>
