processor_ids,avg_processing_times,avg_data_arrival_times
0,4.607272727272728,1.9381818181781592
1,4.151999999999999,2.109285714285037
2,3.442499999999999,1.9870930933488078
3,3.2153333333333363,2.0438037712129358
4,3.9525000000000006,2.1432943101258477
5,4.56095238095238,2.132028571425381
6,4.394107142857143,2.3577072265769945
7,4.383863636363639,2.3098137495182063
8,3.3962499999999984,2.210762499999394
