job_times,data_arrival_times
2.8200000000000003,2.006149999999927
5.942500000000003,1.5795000000000066
2.049999999999997,6.579500000000117
2.1075000000000017,3.8162000000002365
5.727500000000006,5.430850000000149
2.2862499999999955,3.924749999999264
3.405000000000001,4.615099999997966
4.143749999999997,1.9243999999975188
3.8237499999999898,15.705899999997712
4.372500000000002,2.7548499999997773
4.930000000000007,8.700450000003059
3.5437499999999886,2.8981000000057975
3.9575000000000102,3.5303500000087524
5.618750000000006,2.6083000000110417
