task_times,data_arrival_times
4.027999999999999,1.4773200000000566
5.045999999999999,1.4983599999995612
3.2620000000000005,1.532960000000358
4.210000000000001,1.552360000001208
4.124000000000002,1.527240000002017
5.269999999999996,1.396718426678163
3.0999999999999943,1.1915200000029103
2.543999999999997,1.171279999989821
5.221999999999994,1.158438426663139
5.740000000000009,1.2662799999842775
2.578000000000003,1.5100199999847916
2.5800000000000125,1.3791113573892346
3.0560000000000116,1.374639999985078
5.126000000000005,1.3568703782449916
