time_bin,retransmissions,time_bin_mid
"[6, 7)",0.0,6.5
"[7, 8)",0.0,7.5
"[8, 9)",0.0,8.5
"[9, 10)",0.0,9.5
"[10, 11)",0.0,10.5
"[13, 14)",0.0,13.5
"[63, 64)",0.0,63.5
"[64, 65)",0.0,64.5
"[65, 66)",8.965964343598054,65.5
"[66, 67)",4.95945945945946,66.5
"[75, 76)",0.0,75.5
"[76, 77)",0.0,76.5
"[77, 78)",11.721649484536082,77.5
"[82, 83)",0.0,82.5
"[84, 85)",0.0,84.5
"[85, 86)",0.0,85.5
"[113, 114)",0.0,113.5
"[114, 115)",0.0,114.5
"[115, 116)",0.0,115.5
"[116, 117)",0.0,116.5
"[117, 118)",0.0,117.5
"[118, 119)",0.0,118.5
"[119, 120)",14.62295081967213,119.5
"[129, 130)",0.0,129.5
"[131, 132)",15.5,131.5
"[132, 133)",0.0,132.5
"[192, 193)",0.0,192.5
"[193, 194)",0.0,193.5
"[194, 195)",0.0,194.5
"[195, 196)",0.0,195.5
"[196, 197)",0.0,196.5
"[197, 198)",0.0,197.5
"[198, 199)",0.0,198.5
"[199, 200)",0.0,199.5
