time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0,0.0
0.8999999999999999,0.0,0.0,0.0,0.0
0.9999999999999999,0.0,0.0,0.0,0.0
1.0999999999999999,0.0,0.0,0.0,0.0
1.1102999999999998,,,,1.0
1.2,0.0,0.0,0.0,1.0
1.2,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,
1.33003,,,,0.0
1.4000000000000001,0.0,0.0,0.0,
1.4300300000000001,,,,0.0
1.5000000000000002,0.0,0.0,0.0,
1.5300300000000002,,,,0.0
1.6000000000000003,0.0,0.0,0.0,
1.6300300000000003,,,,0.0
1.7000000000000004,0.0,0.0,0.0,
1.7300300000000004,,,,0.0
1.8000000000000005,0.0,0.0,0.0,
1.8300300000000005,,,,0.0
1.9000000000000006,0.0,0.0,0.0,
1.9300300000000006,,,,0.0
2.0000000000000004,0.0,0.0,0.0,
2.0300300000000004,,,,0.0
2.1000000000000005,0.0,0.0,0.0,
2.1300300000000005,,,,0.0
2.2000000000000006,0.0,0.0,0.0,
2.2300300000000006,,,,0.0
2.3000000000000007,0.0,0.0,0.0,
2.3300300000000007,,,,0.0
2.400000000000001,0.0,0.0,0.0,
2.430030000000001,,,,0.0
2.500000000000001,0.0,0.0,0.0,
2.530030000000001,,,,0.0
2.600000000000001,0.0,0.0,0.0,
2.630030000000001,,,,0.0
2.700000000000001,0.0,0.0,0.0,
2.730030000000001,,,,0.0
2.800000000000001,0.0,0.0,0.0,
2.830030000000001,,,,0.0
2.9000000000000012,0.0,0.0,0.0,
2.9300300000000012,,,,0.0
3.0000000000000013,0.0,0.0,0.0,
3.0300300000000013,,,,0.0
3.1000000000000014,0.0,0.0,0.0,
3.1300300000000014,,,,0.0
3.2000000000000015,0.0,0.0,0.0,
3.2300300000000015,,,,0.0
3.3000000000000016,0.0,0.0,0.0,
3.3300300000000016,,,,0.0
3.4000000000000017,0.0,0.0,0.0,
3.4300300000000017,,,,0.0
3.5000000000000018,0.0,0.0,0.0,
3.5300300000000018,,,,0.0
3.600000000000002,0.0,0.0,0.0,
3.630030000000002,,,,0.0
3.700000000000002,0.0,0.0,0.0,
3.730030000000002,,,,0.0
3.800000000000002,0.0,0.0,0.0,
3.830030000000002,,,,0.0
3.900000000000002,0.0,0.0,0.0,
3.930030000000002,,,,0.0
4.000000000000002,0.0,0.0,0.0,
4.030030000000002,,,,0.0
4.100000000000001,0.0,0.0,0.0,
4.130030000000001,,,,0.0
4.200000000000001,0.0,0.0,0.0,
4.230030000000001,,,,0.0
4.300000000000001,0.0,0.0,0.0,
4.330030000000001,,,,0.0
4.4,0.0,0.0,0.0,
4.43003,,,,0.0
4.5,0.0,0.0,0.0,
4.53003,,,,0.0
4.6,0.0,0.0,0.0,
4.63003,,,,0.0
4.699999999999999,0.0,0.0,0.0,
4.730029999999999,,,,0.0
4.799999999999999,0.0,0.0,0.0,
4.830029999999999,,,,0.0
4.899999999999999,0.0,0.0,0.0,
4.930029999999999,,,,0.0
4.999999999999998,0.0,0.0,0.0,
5.030029999999998,,,,0.0
5.099999999999998,0.0,0.0,0.0,
5.130029999999998,,,,0.0
5.1999999999999975,0.0,0.0,0.0,
5.2300299999999975,,,,0.0
5.299999999999997,0.0,0.0,0.0,
5.330029999999997,,,,0.0
5.399999999999997,0.0,0.0,0.0,
5.430029999999997,,,,0.0
5.4999999999999964,0.0,0.0,0.0,
5.5300299999999964,,,,0.0
5.599999999999996,0.0,0.0,0.0,
5.630029999999996,,,,0.0
5.699999999999996,0.0,0.0,0.0,
5.730029999999996,,,,0.0
5.799999999999995,0.0,0.0,0.0,
5.830029999999995,,,,0.0
5.899999999999995,0.0,0.0,0.0,
5.930029999999995,,,,0.0
5.999999999999995,0.0,0.0,0.0,
6.030029999999995,,,,0.0
6.099999999999994,0.0,0.0,0.0,
6.130029999999994,,,,0.0
6.199999999999994,0.0,0.0,0.0,
6.230029999999994,,,,0.0
6.299999999999994,0.0,0.0,0.0,
6.330029999999994,,,,0.0
6.399999999999993,0.0,0.0,0.0,
6.430029999999993,,,,0.0
6.499999999999993,0.0,0.0,0.0,
6.530029999999993,,,,0.0
6.5999999999999925,0.0,0.0,0.0,
6.6300299999999925,,,,0.0
6.699999999999992,0.0,0.0,0.0,
6.730029999999992,,,,0.0
6.799999999999992,0.0,0.0,0.0,
6.830029999999992,,,,0.0
6.8999999999999915,0.0,0.0,0.0,
6.9300299999999915,,,,0.0
6.999999999999991,0.0,0.0,0.0,
7.030029999999991,,,,0.0
7.099999999999991,0.0,0.0,0.0,
7.130029999999991,,,,0.0
7.19999999999999,0.0,0.0,0.0,
7.23002999999999,,,,0.0
7.29999999999999,0.0,0.0,0.0,
7.33002999999999,,,,0.0
