time_bin,duration,time_bin_mid
"[0, 1)",0.0,0.5
"[1, 2)",0.006080000000000085,1.5
"[5, 6)",0.010959999999999859,5.5
"[8, 9)",0.0,8.5
"[9, 10)",0.0,9.5
"[11, 12)",0.0,11.5
"[13, 14)",0.0,13.5
"[14, 15)",0.009560000000000457,14.5
"[15, 16)",1.3241350000000498,15.5
"[17, 18)",0.011639999999999873,17.5
"[19, 20)",0.010159999999999059,19.5
"[20, 21)",0.0,20.5
"[21, 22)",1.3177500000001707,21.5
"[22, 23)",3.1635200000005383,22.5
"[25, 26)",2.3284100000004457,25.5
"[29, 30)",2.757280000000442,29.5
"[30, 31)",2.137755000000322,30.5
"[32, 33)",0.6503149999999991,32.5
"[34, 35)",1.0228700000000046,34.5
"[35, 36)",0.013959999999997308,35.5
"[36, 37)",0.0,36.5
"[37, 38)",0.003720000000001278,37.5
"[39, 40)",0.0,39.5
"[40, 41)",0.011520000000000863,40.5
"[41, 42)",3.9897999999965776,41.5
"[44, 45)",2.0723849999984765,44.5
"[47, 48)",0.00612000000000279,47.5
"[49, 50)",1.9515799999990904,49.5
"[51, 52)",0.0,51.5
"[52, 53)",1.4986299999984922,52.5
"[54, 55)",0.0,54.5
"[56, 57)",0.0,56.5
"[57, 58)",1.2779799999990402,57.5
"[62, 63)",0.013680000000000803,62.5
"[65, 66)",0.0,65.5
"[67, 68)",0.0,67.5
"[68, 69)",0.010880000000000223,68.5
"[69, 70)",0.0,69.5
"[71, 72)",0.7323866666658034,71.5
"[73, 74)",0.00332000000000221,73.5
"[75, 76)",0.0,75.5
"[76, 77)",1.2767800000004854,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.0,78.5
"[81, 82)",0.003500000000002501,81.5
"[85, 86)",0.0,85.5
"[87, 88)",1.126165000001464,87.5
"[90, 91)",1.6794000000027154,90.5
"[95, 96)",0.0,95.5
"[96, 97)",0.003960000000006403,96.5
"[99, 100)",0.0,99.5
"[100, 101)",1.3085750000008645,100.5
"[101, 102)",1.2493900000006022,101.5
"[102, 103)",0.0,102.5
"[103, 104)",0.012559999999993465,103.5
"[104, 105)",3.5391925000008584,104.5
"[105, 106)",0.007360000000005584,105.5
"[106, 107)",0.01120000000000232,106.5
"[109, 110)",0.0,109.5
"[111, 112)",0.0,111.5
"[112, 113)",0.0,112.5
"[116, 117)",0.0,116.5
"[119, 120)",0.0,119.5
"[120, 121)",0.0066000000000059345,120.5
"[121, 122)",0.0,121.5
"[122, 123)",0.0,122.5
"[125, 126)",1.1940025000015027,125.5
"[127, 128)",0.012559999999993465,127.5
"[128, 129)",2.2652350000025194,128.5
"[130, 131)",0.005020000000001801,130.5
"[135, 136)",0.3347000000002159,135.5
"[136, 137)",1.4277199999997379,136.5
"[138, 139)",0.0,138.5
"[141, 142)",0.008319999999997663,141.5
"[142, 143)",0.0,142.5
"[143, 144)",0.0031000000000034333,143.5
"[144, 145)",0.012959999999992533,144.5
"[146, 147)",1.9042949999944483,146.5
"[147, 148)",2.816924999980955,147.5
"[148, 149)",0.01016000000001327,148.5
"[150, 151)",0.33188166666586955,150.5
"[152, 153)",0.0015800000000041337,152.5
"[154, 155)",2.7624449999940737,154.5
"[156, 157)",0.0,156.5
"[157, 158)",0.0,157.5
"[162, 163)",1.7016749999939975,162.5
"[166, 167)",1.2672224999973736,166.5
"[168, 169)",1.5982699999976262,168.5
"[170, 171)",0.0,170.5
"[171, 172)",0.0,171.5
"[173, 174)",0.0,173.5
"[177, 178)",0.010760000000004766,177.5
"[178, 179)",0.0,178.5
"[179, 180)",0.014000000000010004,179.5
"[180, 181)",0.0,180.5
"[182, 183)",0.0,182.5
"[183, 184)",1.2180674999913066,183.5
"[186, 187)",0.0,186.5
"[187, 188)",0.011079999999992651,187.5
"[188, 189)",0.8832599999969233,188.5
"[190, 191)",0.005719999999996617,190.5
"[191, 192)",0.0,191.5
"[193, 194)",0.0,193.5
"[194, 195)",1.4204474999936991,194.5
"[196, 197)",0.0,196.5
"[197, 198)",0.012280000000004065,197.5
