time_bin_mid,avg_wait_time
1.5,0.023097488584474444
3.5,0.021042118644071576
4.5,0.023496934782592738
10.5,0.022308360215056548
14.5,0.02353526442308035
15.5,0.020366411764709255
30.5,0.024166994949461
31.5,0.02318259090905494
33.5,0.022133070652286
43.5,0.04134000000068738
45.5,0.031540987654376684
48.5,0.1858444752139168
49.5,0.03496455197150876
54.5,0.023202102803876263
56.5,0.04341500000724707
59.5,0.020587793427282775
71.5,0.023101898148120012
76.5,0.023247643979035497
78.5,0.02254370967739332
95.5,0.02331144859809777
100.5,0.08549000000007823
103.5,0.09390294970968532
104.5,0.06316376033059609
113.5,0.023150220930197026
118.5,0.02112698033704247
119.5,0.02339770047165746
130.5,0.020355161765231975
138.5,0.023318832547789298
140.5,0.06959500000610319
143.5,0.02301928759954483
149.5,0.020743757225991737
151.5,0.020426618076406368
156.5,0.023153480279044198
160.5,0.02255704301135689
162.5,0.020930200000580042
164.5,0.023187004505162357
182.5,0.021726933702280536
186.5,0.029920000024560522
