time_bin_mid,Router_3_avg_load
0.5,0.0
1.5,0.4166666666666667
2.5,0.4986737400530504
3.5,0.0
4.5,0.0
5.5,0.0
6.5,0.5
7.5,2.6666666666666665
8.5,6.837837837837838
9.5,0.0
10.5,0.0
11.5,0.0
12.5,2.661290322580645
13.5,19.028125
14.5,0.0
15.5,0.0
16.5,0.0
17.5,0.0
18.5,4.771084337349397
19.5,0.0
20.5,4.769230769230769
21.5,0.0
22.5,10.372549019607844
23.5,25.39946380697051
24.5,5.2835820895522385
25.5,5.057142857142857
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,14.744939271255062
32.5,13.73076923076923
33.5,0.0
34.5,0.45454545454545453
35.5,12.377926421404682
36.5,0.17647058823529413
37.5,0.0
38.5,0.0
39.5,0.0
40.5,0.0
41.5,0.0
42.5,0.0
43.5,2.2205128205128206
44.5,2.015151515151515
45.5,1.38
46.5,1.4696969696969697
47.5,0.5
48.5,1.3169934640522876
49.5,0.0
50.5,0.0
51.5,0.0
52.5,0.0
53.5,0.0
54.5,0.0
55.5,0.0
56.5,1.0731707317073171
57.5,4.478947368421053
58.5,4.211970074812967
59.5,8.70487106017192
60.5,5.3726235741444865
61.5,1.3140495867768596
62.5,2.048611111111111
63.5,9.737341772151899
64.5,80.1311475409836
65.5,120.05177111716621
66.5,42.94074074074074
67.5,2.547169811320755
68.5,33.7952380952381
69.5,10.655172413793103
70.5,1.0930232558139534
71.5,7.11661807580175
72.5,5.516129032258065
73.5,6.975683890577508
74.5,6.969899665551839
75.5,0.0
76.5,0.0
77.5,0.0
78.5,0.0
79.5,0.0
80.5,0.0
81.5,0.0
82.5,0.0
83.5,4.7207207207207205
84.5,26.774049217002236
85.5,34.098214285714285
86.5,0.0
87.5,1.964705882352941
88.5,1.3291139240506329
89.5,5.2823529411764705
90.5,7.298245614035087
91.5,4.380368098159509
92.5,7.498746867167919
93.5,6.554054054054054
94.5,0.0
95.5,0.0
96.5,0.0
97.5,0.0
98.5,0.0
99.5,1.3455882352941178
100.5,1.681967213114754
101.5,5.577844311377246
102.5,5.457300275482094
103.5,4.0
104.5,0.0
105.5,0.0
106.5,0.0
107.5,0.46153846153846156
108.5,2.689075630252101
109.5,6.496815286624204
110.5,0.0
111.5,1.7333333333333334
112.5,24.71392405063291
113.5,1.8974358974358974
114.5,6.3546099290780145
115.5,21.122850122850124
116.5,28.477848101265824
117.5,0.14285714285714285
118.5,0.975609756097561
119.5,4.612068965517241
120.5,4.351612903225806
121.5,0.0
122.5,0.0
123.5,2.9903846153846154
124.5,0.0
125.5,4.726744186046512
126.5,3.604651162790698
127.5,6.153846153846154
128.5,0.0
129.5,0.0
130.5,0.0
131.5,0.0
132.5,7.28494623655914
133.5,8.849829351535837
134.5,8.45
135.5,1.9298245614035088
136.5,10.061333333333334
137.5,32.28034682080925
138.5,0.07692307692307693
139.5,0.0
140.5,17.84269662921348
141.5,89.11087866108787
142.5,100.38700564971751
143.5,34.40637450199203
144.5,0.9
145.5,0.8405797101449275
146.5,12.106976744186046
147.5,50.967980295566505
148.5,13.903333333333334
149.5,37.474327628361856
150.5,13.73076923076923
151.5,0.8888888888888888
152.5,3.573099415204678
153.5,3.6419753086419755
154.5,1.9015151515151516
155.5,2.453846153846154
156.5,2.2488888888888887
157.5,3.6862745098039214
158.5,4.0
159.5,19.90776699029126
160.5,16.346938775510203
161.5,17.23095823095823
162.5,15.626543209876543
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,1.7333333333333334
168.5,37.82727272727273
169.5,57.553763440860216
170.5,10.62295081967213
171.5,0.15384615384615385
172.5,0.0
173.5,5.948571428571428
174.5,0.07692307692307693
175.5,1.3829787234042554
176.5,7.161016949152542
177.5,5.764705882352941
178.5,1.105263157894737
179.5,25.943181818181817
180.5,11.634408602150538
181.5,0.0
182.5,9.125
183.5,0.14285714285714285
184.5,5.339920948616601
185.5,5.125373134328358
186.5,2.742138364779874
187.5,3.0
188.5,12.079310344827586
189.5,9.30841121495327
190.5,40.090261282660336
191.5,20.34517766497462
192.5,3.7988505747126435
193.5,20.789227166276348
194.5,26.380434782608695
195.5,1.7222222222222223
196.5,3.2338709677419355
197.5,12.690417690417691
198.5,26.84382871536524
199.5,5.473958333333333
