waiting_times,completion_times,total_completion_time,mid_points
0.4363992129664638,5.090000000000003,5.526399212966467,15.5
0.22945913740500856,8.033333333333339,8.262792470738347,23.5
0.40010752542137595,6.986666666666665,7.3867741920880405,26.5
0.14422453545423863,6.966666666666669,7.110891202120907,31.5
0.20844708752953522,4.763333333333335,4.971780420862871,33.5
0.042944326063405924,8.387222759481801,8.430167085545207,44.5
0.07500378986313905,5.390000000000001,5.46500378986314,50.5
0.4216415277654306,5.280000000000001,5.701641527765432,52.5
0.4051804731927575,8.239999999999995,8.645180473192752,66.5
0.03795887918768415,5.74666666666667,5.784625545854354,69.5
5.017307913922181,6.666666666666686,11.683974580588867,84.5
0.0746061289071207,4.922777240518201,4.997383369425322,86.5
0.24523406559821126,6.093333333333334,6.338567398931545,105.5
0.18404594745221914,6.786981143884788,6.971027091337007,107.5
0.07351414188924821,4.796666666666681,4.870180808555929,109.5
0.10385278605703263,8.426666666666677,8.53051945272371,113.5
