Category,Total Tasks,Completed Tasks,Average Completion Time,Average Waiting Time
0,37,22,6.435787487271529,0.22015230602734295
1,27,16,6.411061321492802,0.37636165393452764
2,33,22,7.594035416670456,0.9441857746634718
