time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.6001299999999999,0.0,,,,,
0.6102799999999999,,1.0,,,,
0.7,,1.0,0.0,0.0,0.0,0.0
0.7,,0.0,0.0,0.0,0.0,0.0
0.7001299999999999,0.0,,,,,
0.70085,,0.0,,,,
0.7111299999999999,,1.0,,,,
0.7111599999999999,,2.0,,,,
0.7999999999999999,,,0.0,0.0,0.0,0.0
0.8001299999999999,0.0,,,,,
0.80085,,2.0,,,,
0.80085,,1.0,,,,
0.8017,,1.0,,,,
0.8017,,0.0,,,,
0.80255,,0.0,,,,
0.8119799999999999,,1.0,,,,
0.8120099999999999,,2.0,,,,
0.8128299999999999,,3.0,,,,
0.8128599999999999,,4.0,,,,
0.8999999999999999,,,0.0,0.0,0.0,0.0
0.9001299999999999,0.0,,,,,
0.90255,,4.0,,,,
0.90255,,3.0,,,,
0.9034,,3.0,,,,
0.9034,,2.0,,,,
0.90425,,2.0,,,,
0.90425,,1.0,,,,
0.9051,,1.0,,,,
0.9051,,0.0,,,,
0.90595,,0.0,,,,
0.9136799999999999,,1.0,,,,
0.9137099999999999,,2.0,,,,
0.91453,,3.0,,,,
0.9145599999999999,,4.0,,,,
0.91538,,5.0,,,,
0.91541,,6.0,,,,
0.91623,,7.0,,,,
0.91626,,8.0,,,,
0.9999999999999999,,,0.0,0.0,0.0,0.0
1.00013,0.0,,,,,
1.0059500000000001,,8.0,,,,
1.0059500000000001,,7.0,,,,
1.0068000000000001,,7.0,,,,
1.0068000000000001,,6.0,,,,
1.0076500000000002,,6.0,,,,
1.0076500000000002,,5.0,,,,
1.0085000000000002,,5.0,,,,
1.0085000000000002,,4.0,,,,
1.0093500000000002,,4.0,,,,
1.0093500000000002,,3.0,,,,
1.0102000000000002,,3.0,,,,
1.0102000000000002,,2.0,,,,
1.0110500000000002,,2.0,,,,
1.0110500000000002,,1.0,,,,
