time_bin_mid,avg_wait_time
5.5,0.09999999999999787
7.5,1.7865999999999276
10.5,0.2814577450980573
11.5,0.02449698830409769
12.5,0.004415765472313291
16.5,0.023491304347791616
20.5,0.023698989637271285
27.5,0.02336556521735447
35.5,0.022478118279683178
40.5,0.023455541125670012
41.5,0.02400497500012355
47.5,0.023505677083457948
49.5,0.02244274193560969
52.5,0.023831293532469825
58.5,0.02080000000643878
64.5,0.07605825456457646
65.5,0.11648948579149149
66.5,0.02645545171346903
87.5,0.02041327034879801
89.5,0.020574898255774667
92.5,0.02357523058248207
101.5,0.06328499999527537
105.5,0.02323392434984713
106.5,0.049410000000179366
109.5,0.04762286465171404
120.5,0.023194977064183817
123.5,0.023271098130803775
125.5,0.023340023584867413
141.5,0.023338497653194592
144.5,0.04267881690253296
154.5,0.020143470588805917
157.5,0.02374708937264707
164.5,0.02400203980168379
174.5,0.023991293533038867
178.5,0.022116092896848773
188.5,0.06316000004071043
191.5,0.8879999999998915
195.5,3.2327874999999935
199.5,4.899897500000058
