time_bin_mid,Router_4_avg_load,Router_5_avg_load,Router_6_avg_load
153.5,0.0,0.0,0.0
154.5,0.0,0.0,40.619430241051866
155.5,20.794244604316546,0.0,0.0
156.5,0.0,0.0,0.0
157.5,0.0,0.0,46.82700421940928
158.5,0.0,0.0,0.0
159.5,0.0,0.0,0.0
160.5,0.0,0.0,0.0
161.5,0.0,26.504761904761907,0.0
162.5,0.0,0.0,0.0
163.5,0.0,0.0,0.0
164.5,23.731612903225805,0.0,46.636138613861384
165.5,0.0,36.96289905090595,0.0
166.5,0.0,0.0,0.0
167.5,0.0,0.0,0.0
168.5,0.0,0.0,0.0
169.5,19.633587786259543,0.0,0.0
170.5,0.5,0.0,0.0
171.5,13.48235294117647,26.473246135552913,0.0
172.5,0.0,0.0,0.0
173.5,0.5,0.0,0.0
174.5,10.114613180515759,0.0,46.636138613861384
175.5,0.0,0.0,0.0
176.5,0.0,0.0,0.0
177.5,0.0,0.0,0.0
178.5,0.0,0.2222222222222222,43.53260869565217
179.5,19.633587786259543,,0.0
180.5,0.0,31.506996770721205,0.0
181.5,0.0,27.64351851851852,0.0
182.5,0.5,0.0,0.0
183.5,16.24380165289256,0.0,0.0
184.5,0.0,0.0,0.0
185.5,21.881705639614857,0.0,0.0
186.5,0.0,0.0,0.0
187.5,0.0,0.0,0.0
188.5,0.0,0.0,0.2222222222222222
189.5,0.0,0.0,
190.5,0.0,0.5,
191.5,0.0,,1.4
192.5,0.0,,2.5
193.5,0.0,36.34414945919371,4.5
194.5,0.0,0.0,6.5
195.5,0.0,0.0,9.38888888888889
196.5,0.2222222222222222,0.0,11.0
197.5,,0.0,14.0
198.5,33.370402053036784,35.64173228346457,17.0
199.5,0.0,0.0,18.736842105263158
