job_ids,handling_times
1,0.0
5,0.006080000000000085
9,0.010959999999999859
14,0.0
15,0.0
19,0.0
21,0.0
23,0.009560000000000457
24,2.6482700000000996
25,0.0
27,0.011639999999999873
31,2.3050450000002556
32,0.0
35,0.0
33,1.76884500000045
36,0.01127999999999929
41,0.0
42,0.0
45,0.01279999999999859
44,0.0058000000000006935
48,0.0
49,0.0
52,2.6020500000008866
54,3.116735000000517
56,0.0
61,2.969349999998542
63,0.0
69,0.0
70,0.0
73,0.0
79,0.012479999999996494
81,4.601589999998687
83,0.0
89,0.0
85,2.7353600000000924
91,0.0
90,0.0
94,0.0
98,0.008040000000001157
102,0.0
105,1.4498849999993695
110,0.005319999999997549
113,0.0
114,0.0
117,0.0
118,0.0
120,0.0
119,0.01224000000000558
122,0.0
124,0.0
127,0.0075999999999964984
131,0.0
134,2.3864549999989464
138,0.0
139,0.0
140,0.012159999999994398
142,0.013959999999997308
146,0.0
144,0.01279999999999859
148,3.0913649999952924
151,0.006439999999997781
153,0.0
155,2.447730000001741
157,2.407360000001148
160,0.008759999999995216
158,0.0
161,0.0
166,0.0
167,1.6971150000007071
169,0.0
180,0.0
179,0.0
182,0.0
183,0.0
189,0.0
192,0.0
193,0.0
194,0.0
196,0.012960000000006744
198,0.0
205,0.0
213,0.011719999999996844
214,1.8934950000026447
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
226,0.0
227,0.0
229,0.0
238,2.2088449999929765
239,1.993814999999472
242,0.0063600000000008095
241,0.0
245,0.0
247,0.0
255,0.0
256,0.0
258,0.0
261,0.0
269,0.0
270,1.902449999993678
272,0.0
273,2.499419999986884
275,3.3560949999735783
277,0.0
274,0.0
279,0.005719999999996617
281,0.003999999999990678
285,0.005799999999993588
292,0.0
293,1.6684349999879373
298,2.4239249999951937
295,0.0
299,0.0
300,1.707969999994873
302,0.0
306,0.0
313,0.008479999999991605
315,0.0
317,0.0
