job_times,data_arrival_times
5.778749999999999,5.86039999999991
3.7600000000000016,6.652299999999908
5.405000000000001,1.7411499999999478
4.301250000000003,1.946200000000161
4.256249999999994,1.9569500000001483
3.3599999999999994,10.10069999999861
4.408749999999998,3.1723499999978344
5.5049999999999955,4.69704999999712
3.1687499999999886,14.983399999998397
5.4325000000000045,4.006050000001636
3.8149999999999977,5.413250000004325
4.938749999999999,5.045250000007542
3.8187499999999943,3.2900000000107923
