Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,107,102,6.303588235294115,0.2433446105065634
1,97,92,7.375615942028987,0.2639998888587783
2,116,108,10.345335648148144,0.4185541931896144
