time_bin,duration,time_bin_mid
"[0, 1)",0.019320000000000004,0.5
"[3, 4)",0.01756000000000002,3.5
"[5, 6)",0.011960000000000193,5.5
"[6, 7)",0.01407999999999987,6.5
"[8, 9)",0.0040800000000000836,8.5
"[12, 13)",0.010640000000000427,12.5
"[16, 17)",0.0113999999999983,16.5
"[19, 20)",0.018080000000001206,19.5
"[20, 21)",0.008800000000000807,20.5
"[26, 27)",0.025320000000000675,26.5
"[27, 28)",0.013079999999998648,27.5
"[29, 30)",0.018319999999999226,29.5
"[33, 34)",0.01695999999999742,33.5
"[36, 37)",0.02915999999999741,36.5
"[38, 39)",0.016399999999997306,38.5
"[40, 41)",0.02096000000000231,40.5
"[42, 43)",0.019599999999996953,42.5
"[44, 45)",0.015200000000000102,44.5
"[46, 47)",0.014200000000002433,46.5
"[48, 49)",0.017919999999996605,48.5
"[50, 51)",0.019640000000002544,50.5
"[52, 53)",0.016480000000001382,52.5
"[54, 55)",0.02756000000000114,54.5
"[58, 59)",0.013280000000001735,58.5
"[61, 62)",0.036520000000002995,61.5
"[63, 64)",0.004240000000002908,63.5
"[66, 67)",0.011399999999994748,66.5
"[69, 70)",0.008480000000005816,69.5
"[71, 72)",0.004199999999997317,71.5
"[73, 74)",0.014399999999994861,73.5
"[75, 76)",0.004959999999996967,75.5
"[78, 79)",0.03243999999999403,78.5
"[81, 82)",0.01640000000000441,81.5
"[84, 85)",0.017613333333329706,84.5
"[86, 87)",0.00816000000000372,86.5
"[88, 89)",0.013639999999995212,88.5
"[90, 91)",0.029480000000006612,90.5
"[92, 93)",0.031720000000007076,92.5
"[94, 95)",0.026120000000005916,94.5
"[96, 97)",0.02552000000000021,96.5
"[97, 98)",0.02787999999999613,97.5
"[99, 100)",0.009759999999999991,99.5
"[102, 103)",0.035799999999994725,102.5
"[104, 105)",0.005439999999993006,104.5
"[105, 106)",0.02027999999999963,105.5
"[107, 108)",0.010319999999993001,107.5
"[109, 110)",0.019840000000002078,109.5
"[111, 112)",0.003479999999996153,111.5
"[113, 114)",0.020560000000003242,113.5
"[117, 118)",0.018919999999994275,117.5
"[120, 121)",0.0029200000000031423,120.5
"[123, 124)",0.018519999999995207,123.5
"[124, 125)",0.015719999999994627,124.5
"[127, 128)",0.009720000000001505,127.5
"[130, 131)",0.033520000000009986,130.5
"[131, 132)",0.008520000000004302,131.5
"[134, 135)",0.008479999999991605,134.5
"[137, 138)",0.024040000000013606,137.5
"[140, 141)",0.01328000000000884,140.5
"[141, 142)",0.009359999999986712,141.5
"[142, 143)",0.021320000000002892,142.5
"[143, 144)",0.024420000000006326,143.5
"[146, 147)",0.024040000000013606,146.5
"[148, 149)",0.013479999999987058,148.5
"[150, 151)",0.014999999999986358,150.5
"[151, 152)",0.025640000000009877,151.5
"[154, 155)",0.01840000000001396,154.5
"[157, 158)",0.018799999999998818,157.5
"[161, 162)",0.013159999999999172,161.5
"[162, 163)",0.028199999999998226,162.5
"[164, 165)",0.023659999999992465,164.5
"[167, 168)",0.023159999999990077,167.5
"[168, 169)",0.024559999999998656,168.5
"[171, 172)",0.011920000000003483,171.5
"[172, 173)",0.01652000000001408,172.5
"[174, 175)",0.01964000000000965,174.5
"[176, 177)",0.02103999999999928,176.5
"[178, 179)",0.01279999999999859,178.5
"[180, 181)",0.02323999999998705,180.5
"[181, 182)",0.02255999999999858,181.5
"[183, 184)",0.0252399999999966,183.5
"[186, 187)",0.012439999999998008,186.5
"[189, 190)",0.022320000000007667,189.5
"[190, 191)",0.02075999999999567,190.5
"[193, 194)",0.019039999999989732,193.5
"[196, 197)",0.011159999999989623,196.5
"[197, 198)",0.0161200000000008,197.5
"[199, 200)",0.029719999999997526,199.5
