waiting_times,completion_times,turnaround_times
0.0,6.83,6.83
0.17506293312436938,4.084,4.259062933124369
0.3448456454964983,6.018000000000001,6.362845645496499
0.4093407110283067,6.484000000000002,6.8933407110283085
0.38383420053544626,5.067999999999998,5.451834200535444
0.2303094764317848,7.350000000000001,7.580309476431786
0.23422479106189797,4.259999999999998,4.494224791061896
0.3401380902026858,5.678000000000004,6.01813809020269
0.09788521669388928,6.903999999999996,7.001885216693886
0.3863401055442566,5.858000000000004,6.244340105544261
0.21115169522225585,9.171999999999997,9.383151695222253
0.46583347102023254,4.902000000000001,5.367833471020234
0.06623900638277291,5.971999999999994,6.038239006382767
0.06395341869458093,5.706000000000003,5.769953418694584
0.37326590428777706,6.549999999999997,6.923265904287774
0.27642785497970124,5.153999999999996,5.430427854979698
0.48159345037998946,9.768,10.24959345037999
0.20383828395983983,3.201999999999998,3.405838283959838
0.03908094729499112,5.515999999999991,5.555080947294982
0.23288234457552903,7.052000000000021,7.28488234457555
0.3816925299507261,4.587999999999994,4.96969252995072
0.01618773195386325,8.051999999999992,8.068187731953856
0.3420354311170968,3.318000000000012,3.660035431117109
0.49386324251457836,7.8419999999999845,8.335863242514563
0.374310301409281,6.064000000000021,6.438310301409302
0.015991038703788263,5.944000000000017,5.959991038703805
