job_ids,handling_times
1,0.0
5,0.006080000000000085
9,0.010959999999999859
14,0.0
10,0.01256000000000057
15,0.0
16,0.0
22,0.0
24,0.0
26,0.0
28,0.0
30,0.0
33,0.002520000000000522
38,3.174615000000209
39,0.0
40,1.5018700000001992
41,0.0
47,0.0
48,0.0
49,0.0
50,0.0038400000000002876
55,0.9458600000002306
57,1.57085499999976
58,0.0
60,0.0
63,0.0
68,0.006239999999998247
70,0.0
75,0.01355999999999824
76,0.0
78,0.0
80,0.0
84,0.0
85,0.0
88,0.0
87,0.0
91,0.0
90,1.1797249999977026
95,4.272284999999634
97,0.009079999999997312
96,0.010800000000003251
98,0.0
104,4.365454999993261
109,0.0
111,1.869729999999123
114,0.0
115,0.0
120,0.0
121,0.00788000000000011
123,0.0
126,0.0
127,0.0
129,0.0
131,0.0
133,0.008960000000001855
138,0.0
140,2.438030000004005
143,0.0069600000000065165
141,0.0
145,0.0
152,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0032800000000037244
163,0.0
162,0.00588000000000477
164,0.011359999999996262
166,0.012600000000006162
171,0.0
172,0.0
173,0.011399999999994748
174,0.0
179,0.0
183,2.429065000005096
185,0.0
187,2.5339250000008917
188,0.0
182,0.006079999999997199
190,0.0
189,2.428974999999866
191,0.0
197,0.0
200,0.0029200000000031423
205,0.0
208,0.007399999999989859
210,0.0
211,0.007399999999989859
213,0.0
214,1.0415400000008788
216,2.8142600000010702
215,2.105559999999997
218,0.0035200000000088494
219,0.0
220,0.0
228,0.011239999999986594
231,0.0
232,0.0
233,0.0
237,0.0
238,2.4997699999954364
240,4.167274999996636
241,0.009999999999990905
244,6.0339949999948885
248,0.0
252,0.0
255,0.0
258,0.007800000000003138
259,0.0
260,0.007640000000009195
263,0.0
268,0.0
271,0.0
270,0.0
272,2.9085099999792305
273,2.713965000000229
276,0.0030399999999985994
281,0.0
282,2.0013549999955558
285,0.006879999999995334
283,0.0
289,0.0
291,0.0
293,0.0
299,3.670919999987831
300,3.1673799999957453
303,0.013599999999996726
304,2.264494999999812
307,1.434119999999865
308,0.0074799999999868305
309,0.0
311,0.0
312,4.504559999997895
316,0.0
315,0.0
319,0.00332000000000221
