job_times,data_arrival_times
4.556249999999999,8.786399999999897
4.604999999999997,9.634799999999991
2.8074999999999974,1.650400000000019
5.585000000000001,4.533950000000125
3.6875,8.084000000000216
3.051249999999996,2.1011999999996505
5.297499999999999,1.6832999999983969
4.701250000000002,3.287749999997544
4.364999999999995,2.5488499999970884
4.296249999999986,13.131549999998839
2.758749999999992,7.939700000003171
3.4124999999999943,1.8236500000070635
3.8187499999999943,6.4599000000098385
2.4575000000000102,1.8596000000127901
