time,goodput,connection_id,src,dst
1.5,0.0,13302,<entities.processor.Processor object at 0x00000260B7C32910>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
1.6000999999999999,147.0,52093,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B7C32910>
2.5,0.0,71964,<entities.processor.Processor object at 0x00000260B9A0DB80>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
2.5,0.0,2206,<entities.processor.Processor object at 0x00000260B9A0DD30>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
2.5,0.0,50965,<entities.processor.Processor object at 0x00000260B9A1D0D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
2.5001,0.0,56327,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A0DB80>
3.5001,229.5,56327,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A0DB80>
4.5001,9.5,56327,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A0DB80>
2.5001,325.0,70157,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A1D0D0>
4.0,0.0,61241,<entities.processor.Processor object at 0x00000260B9A0D370>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
4.017039999999998,79.0,3816,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A0D370>
4.047625000000006,152.0,55549,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A0DD30>
4.5,0.0,95848,<entities.processor.Processor object at 0x00000260B9A1D280>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
4.513419999999997,262.0,16845,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A1D280>
5.0,0.0,66640,<entities.processor.Processor object at 0x00000260B9A1D430>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
5.085580000000033,342.0,56326,<entities.dtn.DTN object at 0x000002608DC9EFA0>,<entities.processor.Processor object at 0x00000260B9A1D430>
