time,throughput,connection_id,src,dst
6.100099999999998,0.0,55304,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
7.663929999999988,34.5,62514,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
8.663929999999988,85.5,62514,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
8.911894999999927,0.0,76732,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
13.51703999999997,0.0,46144,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
19.028960000000055,0.0,74494,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
23.080990000000096,0.0,12099,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
23.60753000000013,43.5,43038,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
24.60753000000013,57.0,43038,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
25.60753000000013,81.5,43038,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
26.618500000000225,84.0,6245,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
30.505724999999806,0.0,12860,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
32.06210000000024,0.0,72332,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
34.16702000000037,51.0,67751,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x00000260B9A2FC40>
38.06549999999953,0.0,85730,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
40.67046500000053,82.5,86044,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
41.67046500000053,139.5,86044,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.dtn.DTN object at 0x000002608DC9EFA0>
