time,retransmissions,connection_id,src,dst
6.0,0,63944,<entities.processor.Processor object at 0x00000260B9A24DF0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
7.0,0,63944,<entities.processor.Processor object at 0x00000260B9A24DF0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
7.5,0,67640,<entities.processor.Processor object at 0x00000260B9A24FA0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
8.911434999999928,0,23097,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
9.911464999999929,0,23097,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
10.91149499999993,0,23097,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
8.911564999999928,0,2612,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
9.911594999999929,0,2612,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
10.91162499999993,0,2612,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
8.911694999999929,0,71728,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
9.91172499999993,0,71728,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
10.91175499999993,0,71728,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24DF0>
8.911824999999927,0,72871,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24FA0>
9.911854999999928,0,72871,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24FA0>
10.911884999999929,0,72871,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24FA0>
13.5,0,33710,<entities.processor.Processor object at 0x00000260B9A24580>,<entities.dtn.DTN object at 0x00000260B9A240D0>
38.0,0,23481,<entities.processor.Processor object at 0x00000260B9A24DF0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
39.0,0,23481,<entities.processor.Processor object at 0x00000260B9A24DF0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
39.5,0,77031,<entities.processor.Processor object at 0x00000260B9A24FA0>,<entities.dtn.DTN object at 0x00000260B9A240D0>
40.629530000004856,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.62986000000487,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63019000000488,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63052000000489,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.630850000004905,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63118000000492,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63151000000493,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63184000000494,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.632170000004955,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63250000000497,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63283000000498,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63316000000499,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.633490000005004,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
40.63382000000502,-1,58451,<entities.dtn.DTN object at 0x00000260B9A240D0>,<entities.processor.Processor object at 0x00000260B9A24C40>
