time_bin,throughput,time_bin_mid
"[6, 7)",0.0,6.5
"[7, 8)",34.5,7.5
"[8, 9)",42.75,8.5
"[13, 14)",0.0,13.5
"[19, 20)",0.0,19.5
"[23, 24)",21.75,23.5
"[24, 25)",57.0,24.5
"[25, 26)",81.5,25.5
"[26, 27)",84.0,26.5
"[30, 31)",0.0,30.5
"[32, 33)",0.0,32.5
"[34, 35)",51.0,34.5
"[38, 39)",0.0,38.5
"[40, 41)",82.5,40.5
"[41, 42)",139.5,41.5
"[47, 48)",0.0,47.5
"[49, 50)",0.0,49.5
"[52, 53)",0.0,52.5
"[59, 60)",2.25,59.5
"[60, 61)",126.0,60.5
"[61, 62)",150.0,61.5
"[62, 63)",51.0,62.5
"[63, 64)",148.5,63.5
"[64, 65)",28.5,64.5
"[65, 66)",10.5,65.5
"[66, 67)",28.5,66.5
"[67, 68)",69.0,67.5
"[68, 69)",105.0,68.5
"[69, 70)",62.0,69.5
"[70, 71)",4.5,70.5
"[71, 72)",15.0,71.5
"[72, 73)",61.5,72.5
"[73, 74)",54.0,73.5
"[74, 75)",0.0,74.5
"[75, 76)",10.5,75.5
"[76, 77)",12.0,76.5
"[77, 78)",24.0,77.5
"[78, 79)",14.5,78.5
"[88, 89)",0.0,88.5
"[90, 91)",0.0,90.5
"[93, 94)",0.0,93.5
"[95, 96)",0.0,95.5
"[97, 98)",0.0,97.5
"[98, 99)",0.0,98.5
"[100, 101)",0.0,100.5
"[104, 105)",12.75,104.5
"[105, 106)",51.0,105.5
"[106, 107)",52.5,106.5
"[107, 108)",150.0,107.5
"[108, 109)",9.0,108.5
"[109, 110)",0.0,109.5
"[113, 114)",103.5,113.5
"[114, 115)",135.0,114.5
"[115, 116)",103.5,115.5
"[126, 127)",0.0,126.5
"[127, 128)",51.0,127.5
"[128, 129)",78.0,128.5
"[129, 130)",97.5,129.5
"[130, 131)",59.5,130.5
"[131, 132)",0.0,131.5
"[132, 133)",0.0,132.5
"[137, 138)",0.0,137.5
"[138, 139)",18.75,138.5
"[139, 140)",48.75,139.5
"[140, 141)",27.5,140.5
"[141, 142)",13.5,141.5
"[142, 143)",42.333333333333336,142.5
"[143, 144)",44.25,143.5
"[144, 145)",85.5,144.5
"[145, 146)",25.5,145.5
"[146, 147)",49.5,146.5
"[147, 148)",69.0,147.5
"[149, 150)",43.5,149.5
"[150, 151)",96.0,150.5
"[151, 152)",62.25,151.5
"[152, 153)",9.0,152.5
"[156, 157)",0.0,156.5
"[159, 160)",6.0,159.5
"[160, 161)",31.5,160.5
"[161, 162)",55.5,161.5
"[162, 163)",43.333333333333336,162.5
"[163, 164)",62.25,163.5
"[164, 165)",46.5,164.5
"[165, 166)",63.0,165.5
"[166, 167)",31.5,166.5
"[167, 168)",63.0,167.5
"[168, 169)",66.0,168.5
"[169, 170)",30.0,169.5
"[170, 171)",27.0,170.5
"[171, 172)",69.0,171.5
"[172, 173)",87.0,172.5
"[173, 174)",45.5,173.5
"[174, 175)",40.5,174.5
"[175, 176)",39.0,175.5
"[176, 177)",66.0,176.5
"[177, 178)",44.5,177.5
"[178, 179)",89.66666666666667,178.5
"[179, 180)",12.5,179.5
"[181, 182)",4.5,181.5
"[182, 183)",18.0,182.5
"[183, 184)",69.0,183.5
"[184, 185)",39.0,184.5
"[185, 186)",32.5,185.5
"[186, 187)",36.0,186.5
"[187, 188)",53.25,187.5
"[188, 189)",36.166666666666664,188.5
"[189, 190)",27.0,189.5
"[190, 191)",44.25,190.5
"[191, 192)",15.666666666666666,191.5
"[192, 193)",40.5,192.5
"[193, 194)",32.25,193.5
"[194, 195)",37.5,194.5
"[195, 196)",28.0,195.5
"[196, 197)",22.666666666666668,196.5
"[197, 198)",11.25,197.5
"[198, 199)",13.0,198.5
"[199, 200)",25.0,199.5
