time_bin_mid,Router_7_avg_load
0.5,0.14285714285714285
1.5,0.16666666666666666
2.5,0.0
3.5,0.15384615384615385
4.5,0.0
5.5,0.15384615384615385
6.5,0.25
7.5,0.25
8.5,0.47368421052631576
9.5,0.7727272727272727
10.5,0.3157894736842105
11.5,0.88
12.5,0.47368421052631576
13.5,0.47368421052631576
14.5,0.15384615384615385
15.5,0.6
16.5,9.142857142857142
17.5,0.5777777777777777
18.5,14.373563218390805
19.5,6.236559139784946
20.5,0.15384615384615385
21.5,0.15384615384615385
22.5,0.0
23.5,0.4375
24.5,0.15384615384615385
25.5,0.25
26.5,0.391304347826087
27.5,13.952681388012618
28.5,15.409638554216867
29.5,0.0
30.5,0.0
31.5,0.15384615384615385
32.5,0.0
33.5,4.875
34.5,18.8479381443299
35.5,0.0
36.5,0.15384615384615385
37.5,0.15384615384615385
38.5,0.0
39.5,5.186335403726708
40.5,1.148936170212766
41.5,0.7368421052631579
42.5,20.745495495495497
43.5,9.841628959276019
44.5,25.616438356164384
45.5,0.4444444444444444
46.5,5.113095238095238
47.5,0.0
48.5,0.0
49.5,0.0
50.5,0.0
51.5,0.0
52.5,0.0
53.5,0.0
54.5,0.0
55.5,5.038888888888889
56.5,0.10526315789473684
57.5,0.0
58.5,0.0
59.5,0.0
60.5,0.0
61.5,0.0
62.5,0.0
63.5,5.642857142857143
64.5,5.303571428571429
65.5,11.740540540540541
66.5,0.0
67.5,0.0
68.5,0.15384615384615385
69.5,0.15384615384615385
70.5,0.0
71.5,0.4375
72.5,0.15384615384615385
73.5,0.25
74.5,0.15384615384615385
75.5,0.0
76.5,0.0
77.5,0.0
78.5,0.0
79.5,0.0
80.5,0.0
81.5,0.0
82.5,0.0
83.5,0.0
84.5,0.0
85.5,0.0
86.5,0.0
87.5,0.0
88.5,0.0
89.5,0.0
90.5,0.0
91.5,0.0
92.5,0.0
93.5,0.0
94.5,0.0
95.5,0.0
96.5,0.0
97.5,0.0
98.5,0.0
99.5,0.0
100.5,0.0
101.5,0.0
102.5,0.0
103.5,0.0
104.5,0.0
105.5,0.0
106.5,0.0
107.5,0.0
108.5,0.0
109.5,0.0
110.5,0.0
111.5,0.0
112.5,0.0
113.5,0.0
114.5,0.0
115.5,0.0
116.5,0.0
117.5,0.0
118.5,0.0
119.5,0.0
120.5,0.0
121.5,0.0
122.5,0.0
123.5,0.15384615384615385
124.5,0.0
125.5,0.0
126.5,0.0
127.5,0.0
128.5,0.15384615384615385
129.5,0.15384615384615385
130.5,0.0
131.5,0.4375
132.5,0.15384615384615385
133.5,0.25
134.5,0.15384615384615385
135.5,0.0
136.5,0.0
137.5,0.0
138.5,0.0
139.5,0.0
140.5,0.0
141.5,0.0
142.5,0.0
143.5,0.0
144.5,0.0
145.5,0.0
146.5,0.0
147.5,0.0
148.5,0.0
149.5,0.0
150.5,0.0
151.5,0.0
152.5,0.0
153.5,0.0
154.5,0.0
155.5,0.0
156.5,0.0
157.5,0.0
158.5,0.0
159.5,0.0
160.5,0.0
161.5,0.0
162.5,0.0
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,0.0
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,0.0
176.5,0.0
177.5,0.0
178.5,0.0
179.5,0.0
180.5,0.0
181.5,0.0
182.5,0.0
183.5,0.15384615384615385
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.15384615384615385
189.5,0.15384615384615385
190.5,0.0
191.5,0.4375
192.5,0.15384615384615385
193.5,0.25
194.5,0.15384615384615385
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
