time_bin_mid,avg_wait_time
0.5,0.09987
1.5,0.09983999999999993
3.5,0.09981000000000151
5.5,0.09987000000000013
6.5,0.09978999999999871
7.5,0.0997449999999942
8.5,0.09971999999999544
9.5,0.09970999999999419
10.5,0.09972999999999803
11.5,0.09962599999999248
12.5,0.09972333333331858
13.5,0.09962666666664965
14.5,0.09954999999998648
15.5,0.08332999999997222
16.5,0.10177765624997231
17.5,0.07181642857142632
18.5,0.10489073529411416
19.5,0.25936527777778257
20.5,0.09042000000007633
21.5,0.09029000000010257
23.5,0.09022500000013522
24.5,0.09042000000015094
25.5,0.09022500000017075
26.5,0.059866666666723724
27.5,0.09326146551723645
28.5,0.2630145945946
31.5,0.07320000000026639
33.5,0.0510431818181784
34.5,0.197283717948725
36.5,0.0864600000003648
37.5,0.08633000000039459
39.5,0.06589848484850981
40.5,0.07226928571435261
41.5,0.050219166666816285
42.5,0.2009555555555557
43.5,0.10843038461537446
44.5,0.27707104838709595
45.5,0.004673749999984267
46.5,0.07616453124998368
55.5,0.07224986111109682
56.5,0.002369999999984884
63.5,0.07675046511628744
64.5,0.0721251612903004
65.5,0.13972999999998947
68.5,0.0701900000007214
69.5,0.07006000000065171
71.5,0.0699950000005316
72.5,0.07019000000050823
73.5,0.06999500000044634
74.5,0.0699300000004115
123.5,0.07015999999758549
128.5,0.07015999999731548
129.5,0.0700299999972458
131.5,0.06996499999712569
132.5,0.07015999999708811
133.5,0.06996499999702621
134.5,0.06989999999697716
183.5,0.07012999999415115
188.5,0.07012999999389535
189.5,0.06999999999382567
191.5,0.06993499999370556
192.5,0.07012999999366798
193.5,0.06993499999360608
194.5,0.06986999999355703
