time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load,Queue_6_avg_load,Queue_7_avg_load,Queue_8_avg_load,Queue_9_avg_load,Queue_10_avg_load,Queue_11_avg_load,Queue_12_avg_load
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,3.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,7.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,10.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,9.29736211031175,2.9596774193548385,7.922330097087379,7.635135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,9.467857142857143,4.068965517241379,8.11549295774648,8.237467018469657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,9.650602409638553,3.288659793814433,5.59375,8.585972850678733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,9.219030520646319,1.55,4.603448275862069,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,9.69059829059829,3.0303030303030303,4.968553459119497,8.935416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,8.648106904231625,2.8227848101265822,3.7,7.620865139949109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,9.554,4.7156398104265405,4.309523809523809,5.456140350877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,5.80625,0.0,0.0,6.572289156626506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.5625,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,0.3333333333333333,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.5,5.0,0.0,0.47368421052631576,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
