time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load
0.5,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,1.5592105263157894
6.5,0.0,0.0,0.0,2.466666666666667,0.745819397993311
7.5,0.0,0.0,0.0,20.026785714285715,0.6260869565217392
8.5,0.0,0.0,0.0,1.404332129963899,0.0
9.5,0.0,0.0,0.0,0.6655518394648829,0.0
10.5,0.0,0.0,0.0,0.5614035087719298,0.0
11.5,0.0,0.0,0.0,0.56,0.0
12.5,0.0,0.0,0.0,0.6260869565217392,0.0
13.5,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,1.1875
15.5,0.0,0.0,0.0,0.0,1.3456375838926173
16.5,0.0,0.0,0.0,0.0,5.758741258741258
17.5,0.0,0.0,0.0,0.0,18.907692307692308
18.5,0.0,0.0,0.0,0.0,0.0
19.5,0.0,0.0,0.0,0.0,1.1555555555555554
20.5,0.0,0.0,0.0,0.0,1.6666666666666667
21.5,0.0,0.0,0.0,0.0,0.8118279569892473
22.5,0.0,0.0,0.0,1.173913043478261,0.0
23.5,0.0,0.0,0.0,1.665551839464883,0.0
24.5,0.0,0.0,0.0,0.859504132231405,0.0
25.5,0.0,0.0,0.0,30.411371237458194,2.0714285714285716
26.5,0.0,0.0,0.0,49.6412213740458,44.20338983050848
27.5,0.0,0.0,0.0,6.819852941176471,32.57241379310345
28.5,0.0,0.0,0.0,0.6441717791411042,0.0
29.5,0.0,0.0,0.0,0.0,0.0
30.5,0.0,0.0,0.0,0.0,0.0
31.5,0.0,0.0,0.0,1.5722543352601157,0.0
32.5,0.0,0.0,0.0,1.2468619246861925,0.5
33.5,0.0,0.0,0.0,0.0,15.824074074074074
34.5,0.0,0.0,0.0,0.0,0.08333333333333333
35.5,0.0,0.0,0.0,0.0,0.0
36.5,0.0,0.0,0.0,0.0,0.0
37.5,0.0,0.0,0.0,0.16666666666666666,0.0
38.5,0.0,0.0,0.0,34.66556291390729,0.0
39.5,0.0,0.0,0.0,60.095588235294116,0.0
40.5,0.0,0.0,0.0,15.3375,0.8275862068965517
41.5,0.0,0.0,0.0,0.0,1.665551839464883
42.5,0.0,0.0,0.0,0.0,0.6666666666666666
43.5,0.0,0.0,0.0,0.0,0.0
44.5,0.0,0.0,0.0,0.0,3.418181818181818
45.5,0.0,0.0,0.0,28.07569721115538,43.97583081570997
46.5,0.0,0.0,0.0,27.864,18.989247311827956
47.5,0.0,0.0,0.0,0.0,0.5789473684210527
48.5,0.0,0.0,0.0,0.0,1.2649253731343284
49.5,0.0,0.0,0.0,0.0,34.96369636963696
50.5,0.0,0.0,0.0,0.0,62.9
51.5,0.0,0.0,0.0,0.0,25.652542372881356
52.5,0.0,0.0,0.0,0.0,1.0833333333333333
53.5,0.0,0.0,0.0,2.0714285714285716,24.49655172413793
54.5,0.0,0.0,0.0,38.34267912772586,0.08333333333333333
55.5,0.0,0.0,0.0,11.246153846153845,0.0
56.5,0.0,0.0,0.0,0.0,0.0
57.5,0.0,0.0,0.0,0.0,0.0
58.5,0.0,0.0,0.0,2.836734693877551,0.0
59.5,0.0,0.0,0.0,15.911196911196912,0.0
60.5,0.0,0.0,0.0,1.5351170568561874,0.0
61.5,0.0,0.0,0.0,0.6655518394648829,0.0
62.5,0.0,0.0,0.0,0.42857142857142855,1.5612903225806452
63.5,0.0,0.0,0.0,3.830508474576271,1.303030303030303
64.5,0.0,0.0,0.0,39.79117647058823,0.6598360655737705
65.5,0.0,0.0,0.0,34.0046511627907,0.0
66.5,0.0,0.0,0.0,2.3966666666666665,0.0
67.5,0.0,0.0,0.0,1.2490706319702602,0.0
68.5,0.0,0.0,0.0,0.0,0.0
69.5,0.0,0.0,0.0,0.0,0.0
70.5,0.0,0.0,0.0,0.0,0.0
71.5,0.0,0.0,0.0,0.0,2.0714285714285716
72.5,0.0,0.0,0.0,0.0,43.60693641618497
73.5,0.0,0.0,0.0,0.0,25.652542372881356
74.5,0.0,0.0,0.0,0.0,0.0
75.5,0.0,0.0,0.0,0.0,0.0
76.5,0.0,0.0,0.0,0.0,4.049180327868853
77.5,0.0,0.0,0.0,0.0,22.541463414634148
78.5,0.0,0.0,0.0,0.0,0.0
79.5,0.0,0.0,0.0,25.303030303030305,0.0
80.5,0.0,0.0,0.0,23.166666666666668,0.0
81.5,0.0,0.0,0.0,0.0,0.48484848484848486
82.5,0.0,0.0,0.0,0.0,0.6677852348993288
83.5,0.0,0.0,0.0,0.0,0.5227272727272727
84.5,0.0,0.0,0.0,0.0,0.0
85.5,0.0,0.0,0.0,0.0,0.0
86.5,0.0,0.0,0.0,0.0,0.0
87.5,0.0,0.0,0.0,0.0,1.6111111111111112
88.5,0.0,0.0,0.0,0.0,43.49303621169916
89.5,0.0,0.0,0.0,0.0,32.78082191780822
90.5,0.0,0.0,0.0,5.037974683544304,26.958677685950413
91.5,0.0,0.0,0.0,49.321739130434786,31.76923076923077
92.5,0.0,0.0,0.0,41.07179487179487,0.0
93.5,0.0,0.0,0.0,0.0,0.0
94.5,0.0,0.0,0.0,0.0,0.0
95.5,0.0,0.0,0.0,0.0,0.0
96.5,0.0,0.0,0.0,0.0,2.76027397260274
97.5,0.0,0.0,0.0,0.0,7.267605633802817
98.5,0.0,0.0,0.0,0.0,0.0
99.5,0.0,0.0,0.0,0.0,0.0
100.5,0.0,0.0,0.0,0.0,22.529680365296805
101.5,0.0,0.0,0.0,0.0,60.79934210526316
102.5,0.0,0.0,0.0,0.0,26.647540983606557
103.5,0.0,0.0,0.0,0.0,0.0
104.5,0.0,0.0,0.0,0.0,25.59504132231405
105.5,0.0,0.0,0.0,0.0,52.565891472868216
106.5,0.0,0.0,0.0,0.0,4.95
107.5,0.0,0.0,0.0,0.0,0.0
108.5,0.0,0.0,0.0,0.0,0.0
109.5,0.0,0.0,0.0,0.0,0.0
110.5,0.0,0.0,0.0,1.0833333333333333,0.0
111.5,0.0,0.0,0.0,39.42339832869081,0.0
112.5,0.0,0.0,0.0,26.634686346863468,0.0
113.5,0.0,0.0,0.0,58.01851851851852,0.0
114.5,0.0,0.0,0.0,37.94827586206897,0.0
115.5,0.0,0.0,0.0,0.0,0.0
116.5,0.0,0.0,0.0,0.0,0.0
117.5,0.0,0.0,0.0,4.2125,0.0
118.5,0.0,0.0,0.0,8.70945945945946,0.0
119.5,0.0,0.0,0.0,0.0,0.0
120.5,0.0,0.0,0.0,1.3421052631578947,0.3888888888888889
