time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load
101.5,0.0,0.0,0.0,0.0,0.0
102.5,0.0,0.0,0.0,0.0,0.0
103.5,0.0,0.0,0.0,0.0,0.0
104.5,0.0,0.0,0.0,0.0,0.0
105.5,0.0,0.0,0.0,0.0,1.0833333333333333
106.5,0.0,0.0,0.0,0.0,27.61
107.5,0.0,0.0,0.0,0.0,1.52
108.5,0.0,0.0,0.0,5.104166666666667,0.0
109.5,0.0,0.0,0.0,14.226973684210526,0.0
110.5,0.0,0.0,0.0,15.521428571428572,0.0
111.5,0.0,0.0,0.0,1.2857142857142858,0.0
112.5,0.0,0.0,0.0,39.976331360946745,0.0
113.5,0.0,0.0,0.0,46.169724770642205,0.0
114.5,0.0,0.0,0.0,0.08333333333333333,0.0
115.5,0.0,0.0,0.0,0.0,0.0
116.5,0.0,0.0,0.0,0.0,0.0
117.5,0.0,0.0,0.0,0.0,0.0
118.5,0.0,0.0,0.0,4.529411764705882,0.0
119.5,0.0,0.0,0.0,9.33779264214047,0.0
120.5,0.0,0.0,0.0,7.195652173913044,0.0
121.5,0.0,0.0,0.0,0.0,0.0
122.5,0.0,0.0,0.0,0.0,0.0
123.5,0.0,0.0,0.0,0.0,0.0
124.5,0.0,0.0,0.0,0.0,0.0
125.5,0.0,0.0,0.0,0.0,0.0
126.5,0.0,0.0,0.0,0.0,0.0
127.5,0.0,0.0,0.0,0.0,0.0
128.5,0.0,0.0,0.0,17.763157894736842,0.0
129.5,0.0,0.0,0.0,48.468401486988846,0.0
130.5,0.0,0.0,0.0,21.608,0.0
131.5,0.0,0.0,0.0,72.93708609271523,0.0
132.5,0.0,0.0,0.0,25.652542372881356,0.0
133.5,0.0,0.0,0.0,0.0,0.0
134.5,0.0,0.0,0.0,0.0,27.705645161290324
135.5,0.0,0.0,0.0,0.0,39.31693989071038
136.5,0.0,0.0,0.0,0.0,0.0
137.5,0.0,0.0,0.0,0.0,0.0
138.5,0.0,0.0,0.0,0.0,0.0
139.5,0.0,0.0,0.0,0.0,0.0
140.5,0.0,0.0,0.0,0.0,0.0
141.5,0.0,0.0,0.0,0.0,0.0
142.5,0.0,0.0,0.0,0.0,0.0
143.5,0.0,0.0,0.0,0.0,0.0
144.5,0.0,0.0,0.0,20.502369668246445,0.0
145.5,0.0,0.0,0.0,41.78125,0.0
146.5,0.0,0.0,0.0,0.08333333333333333,0.0
147.5,0.0,0.0,0.0,0.0,0.0
148.5,0.0,0.0,0.0,0.0,0.0
149.5,0.0,0.0,0.0,0.0,0.0
150.5,0.0,0.0,0.0,0.0,16.22360248447205
151.5,0.0,0.0,0.0,0.0,49.97090909090909
152.5,0.0,0.0,0.0,16.605263157894736,1.6991150442477876
153.5,0.0,0.0,0.0,57.791808873720136,4.637037037037037
154.5,0.0,0.0,0.0,10.34375,0.0
155.5,0.0,0.0,0.0,8.664406779661016,0.0
156.5,0.0,0.0,0.0,8.056224899598394,0.0
157.5,0.0,0.0,0.0,40.0,0.0
158.5,0.0,0.0,0.0,12.0125,0.0
159.5,0.0,0.0,0.0,11.407547169811322,0.0
160.5,0.0,0.0,0.0,28.8969696969697,0.0
161.5,0.0,0.0,0.0,0.0,0.0
162.5,0.0,0.0,0.0,0.0,0.0
163.5,0.0,0.0,0.0,0.0,0.0
164.5,0.0,0.0,0.0,0.0,0.0
165.5,0.0,0.0,0.0,5.555555555555555,0.0
166.5,0.0,0.0,0.0,8.666666666666666,0.0
167.5,0.0,0.0,0.0,8.123762376237623,0.0
168.5,0.0,0.0,0.0,0.0,0.0
169.5,0.0,0.0,0.0,0.0,0.0
170.5,0.0,0.0,0.0,0.0,0.0
171.5,0.0,0.0,0.0,0.0,0.0
172.5,0.0,0.0,0.0,0.0,0.0
173.5,0.0,0.0,0.0,0.0,0.0
174.5,0.0,0.0,0.0,0.0,1.1875
175.5,0.0,0.0,0.0,5.3046875,41.5
176.5,0.0,0.0,0.0,0.0,19.070063694267517
177.5,0.0,0.0,0.0,1.088235294117647,4.211155378486056
178.5,0.0,0.0,0.0,8.071428571428571,1.3137254901960784
179.5,0.0,0.0,0.0,5.3478260869565215,7.119402985074627
180.5,0.0,0.0,0.0,0.0,0.0
181.5,0.0,0.0,0.0,0.0,0.0
182.5,0.0,0.0,0.0,0.0,0.0
183.5,0.0,0.0,0.0,0.0,0.0
184.5,0.0,0.0,0.0,0.0,0.0
185.5,0.0,0.0,0.0,0.0,0.0
186.5,0.0,0.0,0.0,4.704545454545454,0.0
187.5,0.0,0.0,0.0,8.996655518394649,4.197183098591549
188.5,0.0,0.0,0.0,7.401869158878505,50.57063711911357
189.5,0.0,0.0,0.0,0.0,39.95811518324607
190.5,0.0,0.0,0.0,0.0,13.467836257309942
191.5,0.0,0.0,0.0,1.868421052631579,0.0
192.5,0.0,0.0,0.0,32.65562913907285,0.0
193.5,0.0,0.0,0.0,8.836363636363636,0.0
194.5,0.0,0.0,0.0,0.0,0.0
195.5,0.0,0.0,0.0,0.0,0.0
196.5,0.0,0.0,0.0,0.0,0.0
197.5,0.0,0.0,0.0,0.0,0.6564102564102564
198.5,0.0,0.0,0.0,0.0,5.458677685950414
199.5,0.0,0.0,0.0,0.0,0.0
