time_bin,throughput,time_bin_mid
"[6, 7)",0.0,6.5
"[7, 8)",103.5,7.5
"[8, 9)",8.25,8.5
"[12, 13)",0.0,12.5
"[15, 16)",0.0,15.5
"[16, 17)",4.5,16.5
"[17, 18)",63.0,17.5
"[18, 19)",59.5,18.5
"[20, 21)",0.0,20.5
"[23, 24)",0.0,23.5
"[25, 26)",64.5,25.5
"[26, 27)",76.5,26.5
"[27, 28)",86.25,27.5
"[28, 29)",22.5,28.5
"[32, 33)",0.0,32.5
"[33, 34)",88.5,33.5
"[34, 35)",18.5,34.5
"[38, 39)",103.5,38.5
"[39, 40)",135.0,39.5
"[40, 41)",81.5,40.5
"[41, 42)",0.0,41.5
"[45, 46)",103.5,45.5
"[46, 47)",114.5,46.5
"[47, 48)",77.5,47.5
"[48, 49)",0.0,48.5
"[49, 50)",87.0,49.5
"[50, 51)",150.0,50.5
"[51, 52)",113.0,51.5
"[53, 54)",103.5,53.5
"[54, 55)",74.5,54.5
"[55, 56)",98.5,55.5
"[59, 60)",84.0,59.5
"[60, 61)",20.0,60.5
"[63, 64)",0.0,63.5
"[64, 65)",87.0,64.5
"[65, 66)",70.5,65.5
"[66, 67)",24.5,66.5
"[72, 73)",103.5,72.5
"[73, 74)",135.0,73.5
"[74, 75)",4.5,74.5
"[77, 78)",103.5,77.5
"[78, 79)",20.5,78.5
"[80, 81)",103.5,80.5
"[81, 82)",58.5,81.5
"[82, 83)",0.0,82.5
"[88, 89)",103.5,88.5
"[89, 90)",150.0,89.5
"[90, 91)",7.5,90.5
"[91, 92)",103.5,91.5
"[92, 93)",116.25,92.5
"[93, 94)",47.5,93.5
"[97, 98)",0.0,97.5
"[101, 102)",103.5,101.5
"[102, 103)",150.0,102.5
"[103, 104)",61.5,103.5
"[105, 106)",103.5,105.5
"[106, 107)",150.0,106.5
"[107, 108)",6.5,107.5
"[111, 112)",99.0,111.5
"[112, 113)",70.75,112.5
"[113, 114)",79.5,113.5
"[114, 115)",148.5,114.5
"[115, 116)",94.5,115.5
"[118, 119)",0.0,118.5
"[121, 122)",51.75,121.5
"[122, 123)",150.0,122.5
"[123, 124)",20.5,123.5
"[128, 129)",0.0,128.5
"[130, 131)",10.5,130.5
"[131, 132)",63.75,131.5
"[132, 133)",126.0,132.5
"[133, 134)",91.25,133.5
"[134, 135)",82.5,134.5
"[136, 137)",76.0,136.5
"[138, 139)",88.5,138.5
"[139, 140)",150.0,139.5
"[140, 141)",40.5,140.5
"[142, 143)",0.0,142.5
"[144, 145)",44.0,144.5
"[145, 146)",0.0,145.5
"[146, 147)",88.5,146.5
"[147, 148)",52.25,147.5
"[148, 149)",103.5,148.5
"[149, 150)",150.0,149.5
"[150, 151)",96.5,150.5
"[151, 152)",84.0,151.5
"[153, 154)",0.0,153.5
"[155, 156)",103.5,155.5
"[156, 157)",150.0,156.5
"[157, 158)",81.5,157.5
"[163, 164)",103.5,163.5
"[164, 165)",72.5,164.5
"[167, 168)",88.5,167.5
"[168, 169)",108.5,168.5
"[169, 170)",88.5,169.5
"[170, 171)",148.5,170.5
"[171, 172)",40.25,171.5
"[172, 173)",88.5,172.5
"[178, 179)",0.0,178.5
"[180, 181)",0.0,180.5
"[182, 183)",0.0,182.5
"[185, 186)",88.5,185.5
"[186, 187)",150.0,186.5
"[187, 188)",97.5,187.5
"[189, 190)",103.5,189.5
"[190, 191)",86.5,190.5
"[194, 195)",55.0,194.5
"[195, 196)",48.75,195.5
"[196, 197)",75.0,196.5
"[197, 198)",71.5,197.5
