time_bin,throughput,time_bin_mid
"[1, 2)",112.5,1.5
"[2, 3)",258.0,2.5
"[3, 4)",0.0,3.5
"[4, 5)",92.5,4.5
"[5, 6)",80.75,5.5
"[6, 7)",72.375,6.5
"[7, 8)",90.375,7.5
"[8, 9)",0.0,8.5
"[9, 10)",34.0,9.5
"[10, 11)",0.0,10.5
"[11, 12)",0.0,11.5
"[12, 13)",63.75,12.5
"[13, 14)",58.2,13.5
"[14, 15)",11.75,14.5
"[15, 16)",0.0,15.5
"[16, 17)",72.9,16.5
"[17, 18)",61.5,17.5
"[18, 19)",6.9,18.5
"[19, 20)",0.0,19.5
"[20, 21)",40.92857142857143,20.5
"[21, 22)",48.1875,21.5
"[22, 23)",0.0,22.5
"[23, 24)",0.0,23.5
"[24, 25)",40.92857142857143,24.5
"[25, 26)",56.25,25.5
"[26, 27)",0.0,26.5
"[27, 28)",55.6875,27.5
"[28, 29)",26.785714285714285,28.5
"[29, 30)",28.833333333333332,29.5
"[30, 31)",32.85,30.5
"[31, 32)",21.88888888888889,31.5
"[32, 33)",39.27272727272727,32.5
"[33, 34)",24.333333333333332,33.5
"[34, 35)",38.54545454545455,34.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[37, 38)",52.5,37.5
"[38, 39)",15.15,38.5
"[39, 40)",19.0,39.5
"[40, 41)",16.545454545454547,40.5
"[41, 42)",22.03846153846154,41.5
"[42, 43)",21.59090909090909,42.5
"[43, 44)",18.923076923076923,43.5
"[44, 45)",22.181818181818183,44.5
"[45, 46)",29.23076923076923,45.5
"[46, 47)",0.0,46.5
"[47, 48)",23.875,47.5
"[48, 49)",6.2272727272727275,48.5
"[49, 50)",23.75,49.5
"[50, 51)",14.818181818181818,50.5
"[51, 52)",33.34615384615385,51.5
"[52, 53)",5.2272727272727275,52.5
"[53, 54)",24.5,53.5
"[54, 55)",10.727272727272727,54.5
"[55, 56)",0.0,55.5
"[56, 57)",0.0,56.5
"[57, 58)",13.916666666666666,57.5
"[58, 59)",0.0,58.5
"[59, 60)",8.0,59.5
"[60, 61)",0.0,60.5
"[61, 62)",0.0,61.5
"[62, 63)",0.0,62.5
"[63, 64)",23.884615384615383,63.5
"[64, 65)",57.46875,64.5
"[65, 66)",0.0,65.5
"[66, 67)",0.0,66.5
"[67, 68)",20.357142857142858,67.5
"[68, 69)",28.8,68.5
"[69, 70)",15.642857142857142,69.5
"[70, 71)",13.25,70.5
"[71, 72)",0.0,71.5
"[72, 73)",6.5625,72.5
"[73, 74)",0.0,73.5
"[74, 75)",12.705882352941176,74.5
"[75, 76)",9.0,75.5
"[76, 77)",35.075,76.5
"[77, 78)",11.583333333333334,77.5
"[78, 79)",0.0,78.5
"[79, 80)",22.736842105263158,79.5
"[80, 81)",21.055555555555557,80.5
"[81, 82)",0.0,81.5
"[82, 83)",15.078947368421053,82.5
"[83, 84)",6.861111111111111,83.5
"[84, 85)",0.0,84.5
"[85, 86)",24.804347826086957,85.5
"[86, 87)",37.525,86.5
"[87, 88)",9.714285714285714,87.5
"[88, 89)",0.0,88.5
"[89, 90)",0.0,89.5
"[90, 91)",10.071428571428571,90.5
"[91, 92)",6.475,91.5
"[92, 93)",19.636363636363637,92.5
"[93, 94)",33.5,93.5
"[94, 95)",17.19047619047619,94.5
"[95, 96)",19.636363636363637,95.5
"[96, 97)",11.05,96.5
"[97, 98)",20.113636363636363,97.5
"[98, 99)",37.93181818181818,98.5
"[99, 100)",2.761904761904762,99.5
"[100, 101)",11.619047619047619,100.5
"[101, 102)",0.0,101.5
"[102, 103)",0.0,102.5
"[103, 104)",27.5,103.5
"[104, 105)",15.875,104.5
"[105, 106)",6.181818181818182,105.5
"[106, 107)",19.636363636363637,106.5
"[107, 108)",3.75,107.5
"[108, 109)",11.727272727272727,108.5
"[109, 110)",0.0,109.5
"[110, 111)",12.456521739130435,110.5
"[111, 112)",9.522727272727273,111.5
"[112, 113)",3.625,112.5
"[113, 114)",0.0,113.5
"[114, 115)",11.9375,114.5
"[115, 116)",9.891304347826088,115.5
"[116, 117)",11.46,116.5
"[117, 118)",12.717391304347826,117.5
"[118, 119)",17.34,118.5
"[119, 120)",1.6458333333333333,119.5
"[120, 121)",0.0,120.5
"[121, 122)",2.92,121.5
"[122, 123)",0.0,122.5
"[123, 124)",17.4,123.5
"[124, 125)",17.326923076923077,124.5
"[125, 126)",16.553571428571427,125.5
"[126, 127)",13.961538461538462,126.5
"[127, 128)",0.0,127.5
"[128, 129)",7.392857142857143,128.5
"[129, 130)",1.3333333333333333,129.5
"[130, 131)",0.0,130.5
"[131, 132)",15.428571428571429,131.5
"[132, 133)",20.633333333333333,132.5
"[133, 134)",0.0,133.5
"[134, 135)",14.4,134.5
"[135, 136)",19.032258064516128,135.5
"[136, 137)",0.0,136.5
"[137, 138)",0.0,137.5
"[138, 139)",13.935483870967742,138.5
"[139, 140)",5.633333333333334,139.5
"[140, 141)",0.0,140.5
"[141, 142)",9.290322580645162,141.5
"[142, 143)",8.6875,142.5
"[143, 144)",8.953125,143.5
"[144, 145)",7.951612903225806,144.5
"[145, 146)",6.696969696969697,145.5
"[146, 147)",0.0,146.5
"[147, 148)",25.455882352941178,147.5
"[148, 149)",12.453125,148.5
"[149, 150)",1.8181818181818181,149.5
"[150, 151)",0.0,150.5
"[151, 152)",0.0,151.5
"[152, 153)",8.426470588235293,152.5
"[153, 154)",22.557142857142857,153.5
"[154, 155)",6.323529411764706,154.5
"[155, 156)",0.0,155.5
"[156, 157)",7.382352941176471,156.5
