time_bin,throughput,time_bin_mid
"[2, 3)",0.0,2.5
"[7, 8)",0.0,7.5
"[8, 9)",102.0,8.5
"[9, 10)",150.0,9.5
"[10, 11)",62.0,10.5
"[12, 13)",72.0,12.5
"[18, 19)",0.0,18.5
"[21, 22)",0.0,21.5
"[23, 24)",103.5,23.5
"[24, 25)",150.0,24.5
"[25, 26)",83.5,25.5
"[27, 28)",0.0,27.5
"[29, 30)",0.0,29.5
"[30, 31)",0.0,30.5
"[33, 34)",103.5,33.5
"[34, 35)",110.75,34.5
"[35, 36)",42.5,35.5
"[36, 37)",88.5,36.5
"[37, 38)",53.5,37.5
"[49, 50)",103.5,49.5
"[50, 51)",61.5,50.5
"[51, 52)",96.0,51.5
"[52, 53)",39.0,52.5
"[56, 57)",0.0,56.5
"[57, 58)",0.0,57.5
"[59, 60)",102.0,59.5
"[60, 61)",150.0,60.5
"[61, 62)",36.0,61.5
"[66, 67)",51.75,66.5
"[67, 68)",109.5,67.5
"[68, 69)",102.75,68.5
"[69, 70)",66.83333333333333,69.5
"[70, 71)",5.25,70.5
"[71, 72)",46.5,71.5
"[72, 73)",116.5,72.5
"[74, 75)",0.0,74.5
"[78, 79)",0.0,78.5
"[83, 84)",0.0,83.5
"[94, 95)",0.0,94.5
"[100, 101)",0.0,100.5
"[107, 108)",0.0,107.5
"[108, 109)",0.0,108.5
"[111, 112)",103.5,111.5
"[112, 113)",132.5,112.5
"[113, 114)",88.5,113.5
"[114, 115)",16.5,114.5
"[115, 116)",0.0,115.5
"[117, 118)",0.0,117.5
"[118, 119)",102.0,118.5
"[119, 120)",150.0,119.5
"[120, 121)",43.0,120.5
"[121, 122)",103.5,121.5
"[122, 123)",150.0,122.5
"[123, 124)",77.5,123.5
"[126, 127)",103.5,126.5
"[127, 128)",130.5,127.5
"[134, 135)",0.0,134.5
"[136, 137)",0.0,136.5
"[138, 139)",87.0,138.5
"[139, 140)",70.5,139.5
"[140, 141)",0.5,140.5
"[142, 143)",0.0,142.5
"[145, 146)",0.0,145.5
"[148, 149)",70.0,148.5
"[153, 154)",0.0,153.5
"[155, 156)",88.5,155.5
"[156, 157)",150.0,156.5
"[157, 158)",26.0,157.5
"[163, 164)",103.5,163.5
"[164, 165)",52.0,164.5
"[165, 166)",91.25,165.5
"[166, 167)",86.75,166.5
"[167, 168)",150.0,167.5
"[168, 169)",78.5,168.5
"[169, 170)",103.5,169.5
"[170, 171)",56.666666666666664,170.5
"[171, 172)",93.0,171.5
"[172, 173)",56.666666666666664,172.5
"[173, 174)",77.25,173.5
"[174, 175)",66.83333333333333,174.5
"[175, 176)",41.5,175.5
"[179, 180)",103.5,179.5
"[180, 181)",91.5,180.5
"[184, 185)",103.5,184.5
"[185, 186)",150.0,185.5
"[186, 187)",3.5,186.5
"[189, 190)",0.0,189.5
"[190, 191)",0.0,190.5
"[193, 194)",103.5,193.5
"[194, 195)",150.0,194.5
"[195, 196)",0.5,195.5
