Site,Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,0,16,2,3.255299999999978,0.24542598033103186
0,1,19,3,5.095499999999974,0.26886602619354605
0,2,17,1,3.9888999999999655,0.27693848437561613
