time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load
0.5,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,2.466666666666667,0.0
2.5,0.0,0.0,0.0,26.693430656934307,0.0
3.5,0.0,0.0,0.0,0.08333333333333333,0.0
4.5,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,20.07035175879397
6.5,0.0,0.0,0.0,0.0,57.9198606271777
7.5,0.0,0.0,0.0,0.0,15.3375
8.5,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,3.016949152542373
15.5,0.0,0.0,0.0,0.0,46.088235294117645
16.5,0.0,0.0,0.0,0.0,19.18274111675127
17.5,0.0,0.0,0.0,27.573643410852714,8.813253012048193
18.5,0.0,0.0,0.0,58.17407407407408,0.0
19.5,0.0,0.0,0.0,12.885714285714286,2.6545454545454548
20.5,0.0,0.0,0.0,0.0,44.78448275862069
21.5,0.0,0.0,0.0,0.4838709677419355,27.864
22.5,0.0,0.0,0.0,2.5939597315436242,0.0
23.5,0.0,0.0,0.0,1.9866220735785953,0.0
24.5,0.0,0.0,0.0,0.8963210702341137,0.0
25.5,0.0,0.0,0.0,0.47058823529411764,0.5
26.5,0.0,0.0,0.0,0.0,0.6666666666666666
27.5,0.0,0.0,0.0,0.0,6.7548076923076925
28.5,0.0,0.0,0.0,0.0,0.0
29.5,0.0,0.0,0.0,1.0769230769230769,0.0
30.5,0.0,0.0,0.0,2.0735785953177257,0.0
31.5,0.0,0.0,0.0,2.3244147157190636,0.0
32.5,0.0,0.0,0.0,1.0837696335078535,0.26666666666666666
33.5,0.0,0.0,0.0,0.0,5.095890410958904
34.5,0.0,0.0,0.0,0.6526315789473685,0.0
35.5,0.0,0.0,0.0,28.448818897637796,0.0
36.5,0.0,0.0,0.0,62.95364238410596,0.0
37.5,0.0,0.0,0.0,31.081967213114755,0.0
38.5,0.0,0.0,0.0,15.470238095238095,0.0
39.5,0.0,0.0,0.0,0.0,0.0
40.5,0.0,0.0,0.0,0.8636363636363636,1.2058823529411764
41.5,0.0,0.0,0.0,40.32311977715877,41.779329608938546
42.5,0.0,0.0,0.0,50.389558232931726,31.478571428571428
43.5,0.0,0.0,0.0,2.087649402390438,0.0
44.5,0.0,0.0,0.0,0.6655518394648829,0.5555555555555556
45.5,0.0,0.0,0.0,0.8444444444444444,0.6655518394648829
46.5,0.0,0.0,0.0,1.665551839464883,7.837037037037037
47.5,0.0,0.0,0.0,0.9966555183946488,5.126760563380282
48.5,0.0,0.0,0.0,0.5945945945945946,28.45275590551181
