Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,110,106,5.465320754716977,0.24878669027071978
1,103,98,7.051530612244902,0.25210268421444987
2,102,97,6.548002577319592,0.2820503382768611
