Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,43,7,4.745485714285686,6.299305307374376
1,53,9,4.7700592592592415,0.227200646350718
2,61,4,4.028274999999979,0.2153417037914996
