time_bin,throughput,time_bin_mid
"[2, 3)",103.5,2.5
"[3, 4)",48.5,3.5
"[6, 7)",103.5,6.5
"[7, 8)",150.0,7.5
"[8, 9)",20.5,8.5
"[15, 16)",99.0,15.5
"[16, 17)",70.0,16.5
"[18, 19)",103.5,18.5
"[19, 20)",150.0,19.5
"[20, 21)",37.5,20.5
"[21, 22)",63.0,21.5
"[24, 25)",0.0,24.5
"[26, 27)",0.0,26.5
"[29, 30)",103.5,29.5
"[30, 31)",78.5,30.5
"[33, 34)",0.0,33.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[38, 39)",88.5,38.5
"[39, 40)",6.5,39.5
"[49, 50)",0.0,49.5
"[51, 52)",0.0,51.5
"[53, 54)",0.0,53.5
"[57, 58)",103.5,57.5
"[58, 59)",72.25,58.5
"[60, 61)",103.5,60.5
"[61, 62)",66.75,61.5
"[62, 63)",43.0,62.5
"[64, 65)",0.0,64.5
"[65, 66)",0.0,65.5
"[66, 67)",0.0,66.5
"[68, 69)",0.0,68.5
"[69, 70)",3.0,69.5
"[70, 71)",45.75,70.5
"[71, 72)",71.5,71.5
"[72, 73)",4.5,72.5
"[73, 74)",75.75,73.5
"[74, 75)",54.5,74.5
"[75, 76)",50.5,75.5
"[83, 84)",72.0,83.5
"[85, 86)",103.5,85.5
"[86, 87)",135.0,86.5
"[87, 88)",72.5,87.5
"[89, 90)",103.5,89.5
"[90, 91)",110.5,90.5
"[93, 94)",103.5,93.5
"[94, 95)",88.5,94.5
"[97, 98)",0.0,97.5
"[100, 101)",103.5,100.5
"[101, 102)",92.5,101.5
"[102, 103)",96.5,102.5
"[110, 111)",103.5,110.5
"[111, 112)",74.25,111.5
"[112, 113)",28.0,112.5
"[113, 114)",103.5,113.5
"[114, 115)",80.5,114.5
"[117, 118)",103.5,117.5
"[118, 119)",48.75,118.5
"[136, 137)",103.5,136.5
"[137, 138)",150.0,137.5
"[138, 139)",44.5,138.5
"[140, 141)",99.0,140.5
"[142, 143)",103.5,142.5
"[143, 144)",150.0,143.5
"[144, 145)",24.5,144.5
"[145, 146)",103.5,145.5
"[146, 147)",126.75,146.5
"[147, 148)",30.0,147.5
"[155, 156)",0.0,155.5
"[163, 164)",0.0,163.5
"[164, 165)",0.0,164.5
"[167, 168)",0.0,167.5
"[169, 170)",0.0,169.5
"[172, 173)",0.0,172.5
"[174, 175)",14.25,174.5
"[175, 176)",128.5,175.5
"[179, 180)",0.0,179.5
"[184, 185)",0.0,184.5
"[186, 187)",88.5,186.5
"[187, 188)",90.5,187.5
"[189, 190)",100.5,189.5
"[190, 191)",64.75,190.5
"[191, 192)",150.0,191.5
"[192, 193)",139.5,192.5
"[193, 194)",6.25,193.5
"[195, 196)",103.5,195.5
"[196, 197)",74.25,196.5
"[197, 198)",66.33333333333333,197.5
"[198, 199)",56.0,198.5
"[199, 200)",122.0,199.5
