Category,Total Tasks,Completed Tasks,Average Completion Time,Average Waiting Time
0,37,22,6.435787487271529,0.22015230602734295
1,27,16,6.457068232358523,0.37636165393452764
2,33,22,7.565571665609799,0.9441857746634718
