time_bin_mid,avg_wait_time
6.5,0.0026925898519986084
7.5,0.0031999999999889894
19.5,0.0027523640856111664
20.5,0.003249999999969333
36.5,0.0030985384616782122
40.5,0.002890476529293759
41.5,0.0018250000000747946
46.5,0.0025508700210875707
47.5,0.0033500000001254193
54.5,0.003118066088987371
55.5,0.004975000000179364
61.5,0.003215110565264287
62.5,0.0004250000000283194
63.5,0.002794504984029807
67.5,0.003036756601361196
75.5,0.0011442159787883666
76.5,0.003335533048746891
78.5,0.0031515898614799197
79.5,0.0006499999999078909
81.5,0.002705435571450954
82.5,0.0011499999998676458
90.5,0.0030879888548445886
91.5,0.002199999999803026
92.5,0.003178506126012518
93.5,0.004999999999640181
94.5,0.0029928742854368204
95.5,0.0031749999997430223
96.5,0.002991726789902723
97.5,0.003179764453668668
98.5,0.00019999999993558504
102.5,0.0032277067666149663
103.5,0.0048499999996494125
115.5,0.0030128709674401154
123.5,0.002713991596338621
124.5,0.0027999999997661007
130.5,0.003154536128979486
131.5,0.00200000000018008
132.5,0.003125481446154746
143.5,0.0029788066100556666
144.5,0.003199284395755978
146.5,0.0029303960791846706
147.5,0.04941500000566634
162.5,0.0030831161123340313
164.5,0.00568500404498634
165.5,0.013670000002292682
167.5,0.003004471724769415
168.5,0.003960679972290134
169.5,0.0009250000000520231
172.5,0.002721579109811654
173.5,0.001300000000099999
174.5,0.0029215402130742902
175.5,0.0001749999999560714
176.5,0.0028616473844677876
177.5,0.0019250000001704848
180.5,0.003013177150838693
181.5,0.0046750000005317816
183.5,0.0029944395339089104
184.5,0.002075000000189675
189.5,0.002974651941757303
190.5,0.0029410308001058313
193.5,0.0028844701190115806
194.5,0.004450000000502996
197.5,0.002693679448374046
198.5,0.0008000000000265572
199.5,0.003018085427814256
