waiting_times,completion_times,turnaround_time,mid_points
0.19891634100192768,5.460000000000001,5.6589163410019285,8.5
0.29647052803560037,5.678750000000001,5.975220528035601,9.5
0.19616767247820022,3.970625,4.1667926724782,16.5
0.242841408899654,6.606250000000003,6.849091408899657,29.5
0.3162489723915556,2.7137499999999974,3.029998972391553,35.5
0.13696655907849475,3.655000000000001,3.791966559078496,36.5
0.22240659252113915,4.984999999999999,5.207406592521139,42.5
0.32726547467728295,5.21125,5.538515474677283,46.5
0.1457750230572401,5.518749999999997,5.664525023057237,47.5
0.029698456222291725,6.213749999999997,6.243448456222289,52.5
0.38336511756006075,5.702500000000001,6.085865117560061,54.5
0.3280342625559385,6.289999999999992,6.6180342625559305,59.5
0.24753822071176046,8.969999999999999,9.21753822071176,62.5
0.3437973139080981,5.387500000000003,5.731297313908101,75.5
0.47623341209862247,3.864999999999995,4.341233412098617,89.5
0.167217284454253,4.646249999999995,4.813467284454248,93.5
0.2550250888151737,4.840000000000003,5.095025088815177,97.5
0.06122919252243264,2.6199999999999903,2.681229192522423,104.5
0.10636170096643127,3.289999999999992,3.3963617009664233,109.5
0.016291562517608327,4.704999999999998,4.721291562517607,116.5
0.22425428254489077,3.874999999999986,4.099254282544877,121.5
0.38106327447184185,3.2637499999999875,3.6448132744718293,126.5
0.2033180988677259,3.0024999999999977,3.2058180988677236,136.5
0.3714950117007447,5.305000000000007,5.6764950117007515,143.5
0.3656117176411442,4.780000000000001,5.145611717641145,146.5
0.4314368663859227,8.88624999999999,9.317686866385912,150.5
0.42178048541546787,3.021250000000009,3.443030485415477,157.5
0.1290024490505175,5.4775000000000205,5.606502449050538,159.5
0.07825169956728928,5.916249999999991,5.99450169956728,161.5
0.47776145228539235,8.771250000000009,9.249011452285401,167.5
0.07786180258474928,4.340000000000003,4.417861802584753,180.5
0.41886569843427424,8.347499999999997,8.76636569843427,184.5
0.42057398806906576,3.3837500000000205,3.8043239880690862,190.5
0.11035475198926292,4.224999999999994,4.335354751989257,194.5
