Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,91,84,5.5600476190476185,0.23896217555480154
1,105,91,7.005567765567764,0.2745102106410913
2,123,100,9.929687499999995,2.276649440787376
